# X VX VY VZ StdX StdY StdZ WSPD TKE
-2048.000000000203 0.1658939954162166 9.530858495930724 -0.049145011091185964 0.6884064987025923 0.8494106379219433 0.6113768491954278 9.557302078599337 1.5707974279836232
-2027.4170854271836 0.17405720239522315 9.527003417923975 -0.04966427354422789 0.699849709387531 0.8498365944114984 0.6145547435113022 9.554524628298426 1.5911995854063021
-2006.8341708546284 0.17570047532681798 9.51963548805723 -0.053318388082702 0.708854348161344 0.8494750857599833 0.6223181248480979 9.54798903761521 1.6126630379270839
-1986.2512562816175 0.17601767510210095 9.510204594973148 -0.057287263735979865 0.7164945989117246 0.8406542397927022 0.629660527137897 9.539207008221458 1.6173302046348068
-1965.668341708598 0.17387874162304834 9.49370280686709 -0.058549829359434515 0.7249667981330603 0.8278635214054975 0.6379247935099422 9.523295855807204 1.6182823925255625
-1945.0854271360427 0.17066341454375134 9.471736349887657 -0.049847557723188135 0.7340423327627459 0.8171734409317761 0.6478651344894089 9.501899102893585 1.627451571970194
-1924.5025125630232 0.16550420208347538 9.449406156688866 -0.03285200068572873 0.7397356458616617 0.8064962127592574 0.6577396363679978 9.479829545839902 1.6316517229650827
-1903.9195979900037 0.15670452980744862 9.426386658542054 -0.0143464596025089 0.7414650211866014 0.7999405089187998 0.6631659621636965 9.456720801169997 1.6308017512284316
-1883.3366834174483 0.14831609792221906 9.405412331392661 -0.00027871102657074827 0.741714512992669 0.7955287440116177 0.6662067584779621 9.435582648349447 1.6279817416487488
-1862.7537688444377 0.14354589784891628 9.388576563152554 0.010862057069247923 0.741051325933267 0.7872056564482869 0.6695490953284298 9.418583263269884 1.6178631419228668
-1842.170854271418 0.1411438944414799 9.377010968321585 0.020913392363508528 0.7385444265056248 0.7761121463033471 0.6703850789466925 9.406738594651157 1.597217914290824
-1821.5879396988628 0.1371490162871596 9.368514240201591 0.024213415841332075 0.7404978127845787 0.7710093867031542 0.6618223872639528 9.398347910685683 1.5808681079522555
-1801.0050251258433 0.13795031379264172 9.36040452532637 0.02734460437054101 0.7425683855979626 0.7631534651945889 0.6524628593830684 9.390438679091304 1.559724160865632
-1780.4221105528236 0.14370742328651026 9.350961215617705 0.029129431818402822 0.7452952646205269 0.7555953832038288 0.6435148175142393 9.381331580762236 1.5408414799485475
-1759.8391959802684 0.15456683631884224 9.335776262951354 0.030642384449054965 0.7507729694164225 0.7504647904263226 0.6350607499278283 9.366815413647062 1.5304736339158764
-1739.2562814072578 0.1642775166510043 9.310279843297645 0.032568560096009114 0.7581755274889005 0.7549696783820554 0.6271137551404795 9.34215929423451 1.53824296063523
-1718.673366834238 0.166650934701625 9.27710694239791 0.03257755580638295 0.765444148888969 0.7756491153836779 0.6216318352857909 9.309676919530698 1.5740149294413344
-1698.0904522616827 0.17072191151616292 9.254112749855995 0.029853609011116285 0.7718502301610585 0.797419800734655 0.617258153387357 9.287314653128075 1.6127308231061044
-1677.5075376886632 0.17386899857985078 9.242535485299369 0.025702178551588278 0.7760886623108163 0.807483915228993 0.6178227548262114 9.276169064697333 1.636263528866765
-1656.9246231156437 0.17364247092306734 9.236864892731036 0.021251799136506655 0.7770216103904227 0.8110657072560001 0.6272285811836776 9.270547755346778 1.6553010394251957
-1636.3417085430972 0.16970805277529677 9.236002508267372 0.014920800751368793 0.7762408827523344 0.8123880265803841 0.6441575532422422 9.269476706484078 1.6778973274023046
-1615.7587939700775 0.16381880878935368 9.241769553583026 0.007551575131255104 0.7728001807691588 0.8109447697503647 0.6657906948525478 9.274736309926334 1.6988452855594083
-1595.175879397058 0.16038913828576853 9.251531948376353 0.0051258262363565385 0.7670641438190912 0.8060136405432342 0.6954845412874171 9.283842758025909 1.7224814103865946
-1574.5929648245026 0.15763800663593838 9.268567872997092 0.005134619305612021 0.7622138199339273 0.8039981665079852 0.7292263894838207 9.300333542653705 1.759227230765846
-1554.010050251483 0.15953867743463032 9.28378974781123 0.0010824309116355285 0.7582948539905356 0.8074876267660493 0.7453517611075839 9.31532459889449 1.7827702994284236
-1533.4271356784636 0.16171855140284372 9.296108351815754 -0.003091164381774474 0.755615088750689 0.8060329509008788 0.7603320974863541 9.327552755432379 1.7989251718136778
-1512.8442211054528 0.16103530319906018 9.30660804045215 -0.005346455043365951 0.7528953775025404 0.7999073705810915 0.7763839516332843 9.337892903656932 1.8096413273359981
-1492.2613065328976 0.15660653858846837 9.316378844454052 -0.012968972667613357 0.7500768593792321 0.7900204072545436 0.7872795700487162 9.347372688470374 1.8067034553807644
-1471.6783919598781 0.15043807446743498 9.32470542437801 -0.021643911688817102 0.7465982107360027 0.7783070631342451 0.7884210924675338 9.355266244763005 1.784847853795528
-1451.0954773868584 0.14248993645626226 9.328610153181184 -0.030180628065174346 0.7437746874679904 0.7672944262415419 0.7769265047044048 9.358744224993726 1.745579027633661
-1430.5125628143032 0.14024070291191748 9.320520371613762 -0.03533397860089717 0.7369912864103857 0.7595644729814484 0.7590840218139218 9.350120094322492 1.6964606419761368
-1409.9296482412835 0.1466897349586529 9.308131294698848 -0.038731403535947555 0.721118975858175 0.750824584037175 0.7494693511682425 9.336777355318898 1.6456437115332672
-1389.3467336682727 0.15541354553312403 9.299952342830874 -0.04614248848223629 0.7045525301954652 0.7444167181538672 0.745800903894521 9.327658883031654 1.6069795534158515
-1368.7638190957175 0.15891506623720683 9.293478559983996 -0.0616928202952536 0.6992788939580272 0.743483067775913 0.7431289639868183 9.320961903636345 1.5942514801156982
