# X VX VY VY VZ
-1.020000000000000000e+03 -1.192315244669170937e+00 9.620020643582829933e+00 -1.209900601542402421e-01
-1.010000000000000000e+03 -1.194362777207578219e+00 9.615204002563508823e+00 -1.206325403174791644e-01
-1.000000000000000000e+03 -1.195974040847519904e+00 9.610890869314143714e+00 -1.203360476989997346e-01
-9.900000000000000000e+02 -1.197631881827862843e+00 9.607045783002037709e+00 -1.203395302223749241e-01
-9.800000000000000000e+02 -1.199248173116425509e+00 9.604158803419368340e+00 -1.203664769560270492e-01
-9.700000000000000000e+02 -1.200601147291340709e+00 9.600253506473451992e+00 -1.202967433730530167e-01
-9.600000000000000000e+02 -1.201960541434372143e+00 9.597399648388266868e+00 -1.207963929554534688e-01
-9.500000000000000000e+02 -1.202238629693248573e+00 9.593422943200469177e+00 -1.213749351884905736e-01
-9.400000000000000000e+02 -1.202558492847750626e+00 9.590828664955409977e+00 -1.222519636611831689e-01
-9.300000000000000000e+02 -1.202556957363214218e+00 9.588325631455271392e+00 -1.238055713258481016e-01
-9.200000000000000000e+02 -1.201401981720102707e+00 9.585924957295624438e+00 -1.261379884445292254e-01
-9.100000000000000000e+02 -1.198417553465212615e+00 9.581511097844929381e+00 -1.277423637591852956e-01
-9.000000000000000000e+02 -1.194024245703210640e+00 9.575012723332871900e+00 -1.293996424292488401e-01
-8.900000000000000000e+02 -1.189896308875320941e+00 9.570192226852636708e+00 -1.311554721301501358e-01
-8.800000000000000000e+02 -1.185877584751310332e+00 9.563874786049716192e+00 -1.330365429351577644e-01
-8.700000000000000000e+02 -1.182182861524586848e+00 9.559075804196448090e+00 -1.345612550281330699e-01
-8.600000000000000000e+02 -1.179750922133533164e+00 9.552731045827316692e+00 -1.357107988027300427e-01
-8.500000000000000000e+02 -1.178357860953939351e+00 9.546872415071547380e+00 -1.367985856230958808e-01
-8.400000000000000000e+02 -1.178344500336025780e+00 9.540422197510197933e+00 -1.375891125378974345e-01
-8.300000000000000000e+02 -1.178167979486149042e+00 9.534192951192817844e+00 -1.382958892086631475e-01
-8.200000000000000000e+02 -1.179027058273825146e+00 9.528059865423140096e+00 -1.387917112588161750e-01
-8.100000000000000000e+02 -1.180017210893692381e+00 9.521182027300922002e+00 -1.392177331388830541e-01
-8.000000000000000000e+02 -1.182483169014744151e+00 9.514235936302211982e+00 -1.378353989169471827e-01
-7.900000000000000000e+02 -1.186519127179647581e+00 9.504514940694683389e+00 -1.334652587639188759e-01
-7.800000000000000000e+02 -1.189862830941517124e+00 9.495569724864731498e+00 -1.285475578599338808e-01
-7.700000000000000000e+02 -1.194794316842566984e+00 9.485580901594262926e+00 -1.229957492104429423e-01
-7.600000000000000000e+02 -1.198999166061665900e+00 9.476754526921633115e+00 -1.179087450321421593e-01
-7.500000000000000000e+02 -1.203998291060608850e+00 9.467339608399804263e+00 -1.105605405655709639e-01
-7.400000000000000000e+02 -1.208598324844545768e+00 9.458893022580506127e+00 -1.017574910607905309e-01
-7.300000000000000000e+02 -1.214122584441388319e+00 9.449677858884781401e+00 -9.011318822985514565e-02
-7.200000000000000000e+02 -1.220025042558433581e+00 9.441282348496645938e+00 -7.730294927335035204e-02
-7.100000000000000000e+02 -1.227214714331348544e+00 9.432719420225682327e+00 -6.251670003580697688e-02
-7.000000000000000000e+02 -1.236017606320901630e+00 9.425315161819986187e+00 -4.857534562799098454e-02
-6.900000000000000000e+02 -1.244781757057395133e+00 9.415245502254514065e+00 -3.505027053951065286e-02
-6.800000000000000000e+02 -1.251142525835965413e+00 9.406767306581912180e+00 -2.635146752435344950e-02
-6.700000000000000000e+02 -1.255323724065263491e+00 9.398333830553294632e+00 -1.930377963811436351e-02
-6.600000000000000000e+02 -1.259295149855759410e+00 9.392653207001661286e+00 -1.355912670003554810e-02
-6.500000000000000000e+02 -1.261409995767347469e+00 9.387830194883244772e+00 -8.151185097072142019e-03
-6.400000000000000000e+02 -1.264727414425078633e+00 9.384680914210600022e+00 -3.685891822131062180e-03
-6.300000000000000000e+02 -1.266590355606862062e+00 9.382064110550764724e+00 1.964077400874243359e-03
-6.200000000000000000e+02 -1.269089413412296308e+00 9.380104304646327051e+00 7.036698115734985916e-03
-6.100000000000000000e+02 -1.270736718925408182e+00 9.379333977992455829e+00 1.285123696568948523e-02
-6.000000000000000000e+02 -1.273575063631533943e+00 9.376670044858691710e+00 1.785785659699801187e-02
-5.900000000000000000e+02 -1.276068971102177985e+00 9.375034720571871816e+00 2.350713206208772735e-02
-5.800000000000000000e+02 -1.278402042644039671e+00 9.371067123398807652e+00 2.781267240974117164e-02
-5.700000000000000000e+02 -1.281460654132026145e+00 9.365526471008504217e+00 3.110064486326941796e-02
-5.600000000000000000e+02 -1.285519020125760470e+00 9.358046683958802348e+00 3.230053279784151493e-02
-5.500000000000000000e+02 -1.289972849432297286e+00 9.351933731535609695e+00 3.434395838525121369e-02
-5.400000000000000000e+02 -1.292508698701182679e+00 9.344734812778517252e+00 3.737039537761997765e-02
-5.300000000000000000e+02 -1.296907512256058492e+00 9.340479579635800889e+00 4.211772951472696896e-02
-5.200000000000000000e+02 -1.297882532255892007e+00 9.335621699754467429e+00 4.762151770439439213e-02
-5.100000000000000000e+02 -1.301236904545789441e+00 9.332269879485235009e+00 5.340206027231152175e-02
-5.000000000000000000e+02 -1.301738752838113689e+00 9.329553939856259248e+00 6.019636234001607411e-02
-4.900000000000000000e+02 -1.301063662836455581e+00 9.326470786157081250e+00 6.708867296709847272e-02
