# X VX VY VZ StdX StdY StdZ WSPD TKE
-2048.0000000000596 -1.3295445896835993 7.61402103977678 0.12579785115994987 0.8370137139393881 0.9606485372798728 0.831329815021894 7.774937879533582 2.3149003826426853
-2027.4170854273507 -1.3029624925370633 7.599216093369515 0.12703268501625 0.8143697397554731 0.9607160889955512 0.8123142823153546 7.754080949253864 2.2469711399691534
-2006.8341708541782 -1.278007023803005 7.601399298505673 0.10579602599215747 0.788136130524098 0.9328338001356375 0.7720381013862436 7.749561137925758 2.088330012651538
-1986.2512562814577 -1.2648461725393123 7.593400287542331 0.08872184514982301 0.7775743825255128 0.9023535402174114 0.7656396844786557 7.738555397791935 2.0062289434374403
-1965.6683417087486 -1.2532631303115964 7.59014293558815 0.08266832744407913 0.7738656943368749 0.8721045527611552 0.7399979403820566 7.732964241344776 1.9073856909542313
-1945.085427135576 -1.2356418039183408 7.602365927490579 0.05684883447479565 0.7697813038316269 0.8346457732257528 0.7235169284190547 7.7415215371483646 1.8128951073391593
-1924.502512562867 -1.223090240680459 7.600693685943931 0.04018551803566617 0.7717746010151052 0.8045587849697086 0.7428264953463879 7.737606953560499 1.7949027706687402
-1903.9195979901579 -1.2139660913414478 7.603971931825743 0.026738962089643235 0.7835030848783945 0.7768840519959287 0.7463367108533121 7.739753480676481 1.7753367988900528
-1883.3366834169854 -1.2038321125538816 7.615322594819712 -0.0009408712948512192 0.7896342882775634 0.7536961084130157 0.7410461057712061 7.749334062369665 1.7419189531011618
-1862.7537688442649 -1.1927529637519796 7.623942790022919 -0.02514008576277308 0.7920988211904536 0.7353186151175354 0.7403763865130649 7.756140476114694 1.717137347489311
-1842.1708542715558 -1.1827985307948001 7.63114729727267 -0.03236972013795591 0.7982580283141077 0.6992962796859322 0.7283335938502579 7.762072254000936 1.6568690222621547
-1821.5879396983833 -1.1765204627352213 7.630385655778872 -0.0439058189658187 0.8086335261970561 0.6959787477545061 0.7368555195306132 7.761326327567595 1.682103658245278
-1801.0050251256741 -1.1800084365692554 7.638049672703717 -0.05409557143266352 0.815345641383824 0.6844482339687838 0.7465833821187949 7.769852970265917 1.6919850705393313
-1780.422110552965 -1.1821451328334587 7.653016958979816 -0.05721418598259984 0.8174206388902907 0.6589090963388736 0.7564865329066945 7.785080745210157 1.6760333327654924
-1759.8391959797812 -1.1758848911357134 7.668846301238649 -0.057334840291742364 0.8230449100537941 0.6496439956285074 0.7752679400925574 7.800017620360736 1.70082790921853
-1739.2562814070718 -1.1638712546693752 7.661643786431204 -0.055827789941442475 0.8322237230350846 0.6282678189725682 0.808470424412709 7.791988768502039 1.7410544683890474
-1718.673366834363 -1.1446164133183376 7.658232261666158 -0.049755925710283366 0.8384466265865688 0.6134073783951423 0.8091502817085899 7.786270839473481 1.7355243642483376
-1698.0904522611904 -1.1120127501715495 7.663329625639513 -0.04267195710115321 0.8390187897023956 0.5843284946418594 0.8036395827147897 7.7871359695120015 1.6924752190351833
-1677.507537688481 -1.0752645747278826 7.6670058388010744 -0.02876679826581607 0.8378222088191073 0.5715680411523536 0.8051411276518281 7.786224627485094 1.6778764866626874
-1656.9246231157606 -1.0407291283672295 7.6718433339246115 -0.03112005176978044 0.827211101518535 0.5808428624515942 0.8186360346304805 7.785733652589955 1.692639388100369
-1636.341708542588 -1.0131181868175467 7.686133923734123 -0.04693353510106756 0.8126491223079374 0.6165173425689638 0.8266821894832848 7.795296369372316 1.7240010797656948
-1615.758793969879 -0.9935740790162175 7.704836117564286 -0.04829606835156097 0.8081079301053989 0.6445453024751735 0.8025998842892762 7.810862240103669 1.7141297641412834
-1595.1758793971699 -0.9629204921733403 7.714164477007973 -0.04910758819114626 0.8048390335669592 0.6554970670992897 0.7954691837944323 7.815906625361197 1.7113818181968945
-1574.5929648239976 -0.9291047706225583 7.71612794491712 -0.048477806433596005 0.8041553760566833 0.6722563171224368 0.7877965071864828 7.813960302929014 1.7195302508849823
-1554.0100502512882 -0.9005314140967667 7.713152140462267 -0.037200720874617677 0.8077158583926952 0.6947196762242991 0.7808412960759279 7.808484099005083 1.7448808052813036
-1533.4271356785678 -0.8761210243808788 7.7065044828456655 -0.025495890046301973 0.8127469892778458 0.6864176829244111 0.7647849939641551 7.800243714017288 1.7166625524440535
-1512.8442211053953 -0.8550418960512639 7.700280569604807 -0.01916598886836686 0.8212966184712681 0.6832334371705254 0.7545332288836512 7.79306264449303 1.711078888325552
-1492.2613065326861 -0.8396536337070863 7.685905655138778 -0.012710502041642101 0.8276932632521444 0.688266157004052 0.7561182548652287 7.778352250332498 1.7308656243967446
-1471.678391959977 -0.8316941286863302 7.658616614182952 0.007193642270908917 0.8182918350089399 0.6922631258051704 0.7624365799073886 7.750084906504692 1.730385919449191
-1451.0954773868045 -0.833122884842222 7.624460728184038 0.027992185860632936 0.8115942570030379 0.7058199998423519 0.7684347434735437 7.7161318261419725 1.7478098520285739
-1430.512562814084 -0.8389489755663908 7.5976508015579345 0.04617845111126809 0.8111732936835152 0.7262718215343609 0.7648242495489809 7.6904319188778585 1.7705285036569767
-1409.929648241375 -0.8327809891041718 7.59473253129598 0.054630497771657294 0.8016151979071955 0.7432970499867673 0.7671373004281494 7.68569700201269 1.7842735866735886
-1389.3467336682024 -0.8286185393848619 7.599979175456345 0.06179280591594538 0.7930133551549309 0.7492204618308275 0.7741025380693749 7.689354457278026 1.7913178422077969
-1368.7638190954933 -0.8249717238035659 7.607411330657593 0.06754008523197735 0.7882709855756963 0.7461656321039681 0.785118254058181 7.69554125889094 1.7964713988942131
