# Y/D TKE
-4.0000 0.1574
-3.9213 0.1533
-3.8425 0.1664
-3.7638 0.1830
-3.6850 0.1834
-3.6063 0.1866
-3.5276 0.1859
-3.4488 0.1854
-3.3701 0.1831
-3.2913 0.1799
-3.2126 0.1785
-3.1339 0.1830
-3.0551 0.1808
-2.9764 0.1658
-2.8976 0.1503
-2.8189 0.1496
-2.7402 0.1691
-2.6614 0.2009
-2.5827 0.2271
-2.5039 0.2480
-2.4252 0.2686
-2.3465 0.2735
-2.2677 0.2733
-2.1890 0.2641
-2.1102 0.2563
-2.0315 0.2428
-1.9528 0.2383
-1.8740 0.2475
-1.7953 0.2680
-1.7165 0.3041
-1.6378 0.3381
-1.5591 0.3545
-1.4803 0.3501
-1.4016 0.3721
-1.3228 0.4355
-1.2441 0.4298
-1.1654 0.3753
-1.0866 0.3660
-1.0079 0.4085
-0.9291 0.4277
-0.8504 0.4536
-0.7717 0.4687
-0.6929 0.4663
-0.6142 0.4493
-0.5354 0.4475
-0.4567 0.4518
-0.3780 0.4582
-0.2992 0.5266
-0.2205 0.6216
-0.1417 0.6066
-0.0630 0.5566
0.0157 0.4803
0.0945 0.4161
0.1732 0.3781
0.2520 0.3493
0.3307 0.3096
0.4094 0.2708
0.4882 0.2424
0.5669 0.2193
0.6457 0.2056
0.7244 0.2035
0.8031 0.2085
0.8819 0.2113
0.9606 0.2071
1.0394 0.2054
1.1181 0.2031
1.1969 0.2004
1.2756 0.2000
1.3543 0.1938
1.4331 0.1828
1.5118 0.1732
1.5906 0.1614
1.6693 0.1536
1.7480 0.1572
1.8268 0.1614
1.9055 0.1642
1.9843 0.1644
2.0630 0.1654
2.1417 0.1841
2.2205 0.2115
2.2992 0.2596
2.3780 0.2760
2.4567 0.2576
2.5354 0.2369
2.6142 0.2388
2.6929 0.2576
2.7717 0.2492
2.8504 0.2286
2.9291 0.2148
3.0079 0.2119
3.0866 0.2086
3.1654 0.1974
3.2441 0.1933
3.3228 0.1880
3.4016 0.1799
3.4803 0.1674
3.5591 0.1518
3.6378 0.1353
3.7165 0.1184
3.7953 0.1104
3.8740 0.1085
3.9528 0.1078
