f,Suu,Svv,Sww
0.8679132086791321,0.00033835720100042937,0.0004243774788828396,0.0004315621484592333
0.8681131886811319,0.0003383061284979599,0.0004243161263669949,0.0004314984927245811
0.8683131686831317,0.0003382550752615464,0.00042425479598978726,0.0004314348600472691
0.8685131486851315,0.0003382040412795641,0.00042419348773845727,0.0004313712504141675
0.8687131286871312,0.00033815302654039873,0.0004241322016002556,0.000431307663812157
0.8689131086891311,0.0003381020310324447,0.00042407093756244237,0.0004312441002281278
0.8691130886911309,0.0003380510547441067,0.0004240096956122881,0.00043118055964898034
0.8693130686931307,0.00033800009766379874,0.0004239484757370735,0.0004311170420616253
0.8695130486951305,0.00033794915977994463,0.00042388727792408947,0.00043105354745298337
0.8697130286971303,0.0003378982410809774,0.0004238261021606366,0.0004309900758099852
0.8699130086991301,0.00033784734155533984,0.0004237649484340253,0.0004309266271195715
0.8701129887011299,0.0003377964611914848,0.0004237038167315768,0.00043086320136869285
0.8703129687031297,0.00033774559997787394,0.0004236427070406217,0.00043079979854431004
0.8705129487051295,0.0003376947579029788,0.0004235816193485009,0.0004307364186333938
0.8707129287071292,0.0003376439349552805,0.000423520553642565,0.00043067306162292526
0.8709129087091291,0.00033759313112326965,0.0004234595099101747,0.0004306097274998946
0.8711128887111289,0.00033754234639544626,0.0004233984881387009,0.00043054641625130276
0.8713128687131287,0.0003374915807603201,0.0004233374883155246,0.0004304831278641602
0.8715128487151285,0.00033744083420641005,0.00042327651042803577,0.0004304198623254878
0.8717128287171283,0.000337390106722245,0.0004232155544636354,0.00043035661962231603
0.8719128087191281,0.000337339398296363,0.000423154620409734,0.0004302933997416855
0.8721127887211279,0.00033728870891731145,0.0004230937082537521,0.0004302302026706463
0.8723127687231277,0.00033723803857364754,0.0004230328179831198,0.000430167028396259
0.8725127487251275,0.0003371873872539376,0.00042297194958527734,0.0004301038769055937
0.8727127287271272,0.0003371367549467577,0.0004229111030476753,0.00043004074818573084
0.8729127087291271,0.000337086141640693,0.00042285027835777336,0.0004299776422237603
0.8731126887311269,0.0003370355473243382,0.0004227894755030415,0.00042991455900678177
0.8733126687331267,0.0003369849719862978,0.00042272869447095935,0.0004298514985219053
0.8735126487351265,0.0003369344156151851,0.00042266793524901685,0.00042978846075625055
0.8737126287371263,0.0003368838781996232,0.0004226071978247134,0.0004297254456969469
0.8739126087391261,0.0003368333597282443,0.0004225464821855581,0.0004296624533311337
0.8741125887411259,0.00033678286018969024,0.0004224857883190702,0.0004295994836459602
0.8743125687431257,0.00033673237957261196,0.00042242511621277853,0.0004295365366285852
0.8745125487451255,0.00033668191786567,0.00042236446585422195,0.0004294736122661778
0.8747125287471252,0.000336631475057534,0.0004223038372309492,0.0004294107105459164
0.8749125087491251,0.0003365810511368832,0.000422243230330518,0.0004293478314549895
0.8751124887511249,0.000336530646092406,0.0004221826451404972,0.0004292849749805953
0.8753124687531247,0.00033648025991280005,0.00042212208164846396,0.0004292221411099416
0.8755124487551245,0.00033642989258677236,0.0004220615398420065,0.00042915932983024615
