# Y/D TKE
-4.0000 0.3978
-3.9213 0.3579
-3.8425 0.3297
-3.7638 0.3129
-3.6850 0.3017
-3.6063 0.3153
-3.5276 0.3210
-3.4488 0.3238
-3.3701 0.3197
-3.2913 0.3023
-3.2126 0.2889
-3.1339 0.2991
-3.0551 0.3119
-2.9764 0.3231
-2.8976 0.3283
-2.8189 0.3310
-2.7402 0.3530
-2.6614 0.3581
-2.5827 0.3205
-2.5039 0.2692
-2.4252 0.2248
-2.3465 0.1928
-2.2677 0.1736
-2.1890 0.1538
-2.1102 0.1401
-2.0315 0.1312
-1.9528 0.1264
-1.8740 0.1288
-1.7953 0.1314
-1.7165 0.1393
-1.6378 0.1564
-1.5591 0.1612
-1.4803 0.1634
-1.4016 0.1701
-1.3228 0.1644
-1.2441 0.1420
-1.1654 0.1347
-1.0866 0.1472
-1.0079 0.1544
-0.9291 0.1775
-0.8504 0.1869
-0.7717 0.1843
-0.6929 0.2007
-0.6142 0.2321
-0.5354 0.2683
-0.4567 0.2674
-0.3780 0.2510
-0.2992 0.2369
-0.2205 0.2082
-0.1417 0.1662
-0.0630 0.1282
0.0157 0.1084
0.0945 0.0970
0.1732 0.0907
0.2520 0.0951
0.3307 0.1064
0.4094 0.1199
0.4882 0.1251
0.5669 0.1233
0.6457 0.1211
0.7244 0.1441
0.8031 0.1719
0.8819 0.1738
0.9606 0.1666
1.0394 0.1693
1.1181 0.1709
1.1969 0.1624
1.2756 0.1455
1.3543 0.1394
1.4331 0.1469
1.5118 0.1508
1.5906 0.1477
1.6693 0.1423
1.7480 0.1334
1.8268 0.1408
1.9055 0.1502
1.9843 0.1544
2.0630 0.1522
2.1417 0.1471
2.2205 0.1438
2.2992 0.1390
2.3780 0.1357
2.4567 0.1344
2.5354 0.1340
2.6142 0.1384
2.6929 0.1514
2.7717 0.1599
2.8504 0.1698
2.9291 0.1949
3.0079 0.2279
3.0866 0.2498
3.1654 0.2497
3.2441 0.2513
3.3228 0.2643
3.4016 0.2671
3.4803 0.2481
3.5591 0.2353
3.6378 0.2567
3.7165 0.2913
3.7953 0.2957
3.8740 0.2861
3.9528 0.2860
