# z WS WD Th TKE TI
0.000000000000000000e+00 1.624981149897931409e+00 2.636693957220465450e+02 3.050022248467892609e+02 2.540613029560110925e-01 4.273278191873886578e-01
6.363636399999999860e+00 4.049807928961854486e+00 2.639264629366658710e+02 3.050022409761888298e+02 3.128642674123763845e-01 1.866329789887679613e-01
1.272727300000000028e+01 4.659619394145540383e+00 2.640839732447124675e+02 3.050022625869549415e+02 3.198026267338853756e-01 1.594507672961638922e-01
1.909090899999999991e+01 4.958921158171401444e+00 2.642191793205449812e+02 3.050022835207022922e+02 2.982941721654749356e-01 1.425297182745829117e-01
2.545454499999999953e+01 5.154766903739790074e+00 2.643197575388684868e+02 3.050023040496878934e+02 3.008361556997229402e-01 1.364545212732166946e-01
3.181818200000000019e+01 5.311739570663914556e+00 2.644567887229986241e+02 3.050023236283630013e+02 2.871497366757210234e-01 1.285590867070858512e-01
3.818181799999999981e+01 5.440561630824753969e+00 2.646689733525412862e+02 3.050023437173900334e+02 2.872324379404496142e-01 1.248704554140740719e-01
4.454545499999999691e+01 5.557836464961828149e+00 2.648618524560712331e+02 3.050023663188393925e+02 2.951585143983986859e-01 1.234700921733680318e-01
5.090909099999999654e+01 5.659211838851153864e+00 2.650570217705238178e+02 3.050023894327111975e+02 2.894144495656921778e-01 1.196209103030637377e-01
5.727272700000000327e+01 5.756243196729783129e+00 2.652072456431621390e+02 3.050024117132496144e+02 2.887301469802929232e-01 1.170140666135494750e-01
6.363636400000000037e+01 5.843994551282460037e+00 2.653415168175447434e+02 3.050024348664587706e+02 2.817160908661568430e-01 1.135810947669514126e-01
7.000000000000000000e+01 5.930350765341753316e+00 2.655066170892461628e+02 3.050024581159412946e+02 2.851217370840385956e-01 1.125486613823552390e-01
7.636363599999999963e+01 6.009105616855362264e+00 2.657006650737070572e+02 3.050024816573492217e+02 2.700235362805660233e-01 1.080397965594289411e-01
8.272727299999999673e+01 6.085344606227565123e+00 2.658243785449735697e+02 3.050025043768110322e+02 2.664435226906352594e-01 1.057646293588595521e-01
8.909090899999999635e+01 6.153387267974951946e+00 2.659189021176546817e+02 3.050025283623182872e+02 2.602145331088560609e-01 1.029325124487987797e-01
9.545454499999999598e+01 6.214843535403252517e+00 2.659894099227456081e+02 3.050025557908898577e+02 2.622491716185890720e-01 1.020947561273795046e-01
1.018181799999999981e+02 6.272815750300282822e+00 2.660575483943650852e+02 3.050025835289850988e+02 2.577052322127290074e-01 1.000622739119928772e-01
1.081818200000000019e+02 6.333017065695920600e+00 2.661021704890250703e+02 3.050026124999996568e+02 2.543905690912815487e-01 9.840867148369349116e-02
