# z WS WD Th TKE TI
0.000000000000000000e+00 2.397516263494889888e+00 2.636192996188966049e+02 3.050022018457538024e+02 3.324243691391299271e-01 3.265171284622548908e-01
6.363636399999999860e+00 3.530844814593547376e+00 2.637709035979360124e+02 3.050022115817785675e+02 1.909106706483756632e-01 1.692132816192120082e-01
1.272727300000000028e+01 4.370054201113149794e+00 2.639047506082926020e+02 3.050022269389213534e+02 2.287886281031058233e-01 1.496874123720260963e-01
1.909090899999999991e+01 4.816812405538605901e+00 2.640741049674697933e+02 3.050022475175962882e+02 2.524453577638015034e-01 1.405034409384099958e-01
2.545454499999999953e+01 5.049790910497298668e+00 2.642211751049034092e+02 3.050022686656294582e+02 2.221809328617472545e-01 1.251230810231667157e-01
3.181818200000000019e+01 5.225966010393874761e+00 2.643391869093389914e+02 3.050022907142837880e+02 2.313577600568197667e-01 1.220057113312216363e-01
3.818181799999999981e+01 5.348980500595093446e+00 2.644083123889790272e+02 3.050023137619028262e+02 2.219712262206213205e-01 1.156805995445981811e-01
4.454545499999999691e+01 5.460957510904818513e+00 2.645388317117142947e+02 3.050023370465819426e+02 2.092965253738670039e-01 1.095501443830986799e-01
5.090909099999999654e+01 5.567045234491521555e+00 2.646870955544576987e+02 3.050023605869548078e+02 2.218180973738941575e-01 1.100578678933232940e-01
5.727272700000000327e+01 5.663896763127776346e+00 2.648170958434179738e+02 3.050023846293980228e+02 2.077252717018572281e-01 1.040596833574447960e-01
6.363636400000000037e+01 5.755043970261962016e+00 2.649379301619821945e+02 3.050024095238081827e+02 2.039798725308761829e-01 1.010682312916764830e-01
7.000000000000000000e+01 5.841916620000968230e+00 2.650518857641694126e+02 3.050024349006199600e+02 2.197707522783117762e-01 1.031497192738270313e-01
7.636363599999999963e+01 5.914905262816438025e+00 2.652020208996162864e+02 3.050024636293986759e+02 2.036218370920197251e-01 9.801364055530226160e-02
8.272727299999999673e+01 5.989414140884702142e+00 2.653600083890768246e+02 3.050024937401649368e+02 2.083432559658121574e-01 9.783766568382859519e-02
8.909090899999999635e+01 6.065938560991253503e+00 2.655287945011229453e+02 3.050025259265005388e+02 2.190233736033749823e-01 9.897712084712576019e-02
9.545454499999999598e+01 6.129675924469037085e+00 2.656829029725564624e+02 3.050025590320908009e+02 2.091780718566547681e-01 9.552428125800162262e-02
1.018181799999999981e+02 6.191432665988886086e+00 2.658237004623619555e+02 3.050025925859210361e+02 2.153005945027312018e-01 9.583601883736296567e-02
1.081818200000000019e+02 6.253487914871031172e+00 2.659410694147014738e+02 3.050026266935815897e+02 2.135551827857069818e-01 9.445129720338477086e-02
1.145454500000000024e+02 6.314606603928742068e+00 2.660697853450465686e+02 3.050026630144926685e+02 2.070390943253230809e-01 9.190984145631433955e-02
1.209090900000000062e+02 6.374863492719016200e+00 2.662031860742379195e+02 3.050027002805382494e+02 2.141996424450963998e-01 9.244806126419854997e-02
1.272727299999999957e+02 6.432136419307954434e+00 2.663450596826912147e+02 3.050027400093168808e+02 2.072416610016709904e-01 9.006607997369328600e-02
1.336363599999999963e+02 6.482026093270795819e+00 2.664760358660124666e+02 3.050027780393377270e+02 2.048822441803422600e-01 8.876310907558902785e-02
1.400000000000000000e+02 6.526392440261093775e+00 2.665988491896106325e+02 3.050028152784680628e+02 2.131854050409637824e-01 8.985322935201892069e-02
1.463636400000000037e+02 6.574043428439244607e+00 2.667023064687983265e+02 3.050028516469981241e+02 2.005709419431881690e-01 8.641443195005131528e-02
1.527272700000000043e+02 6.618487109613265140e+00 2.668079591690733992e+02 3.050028885538305303e+02 1.999192466357315179e-01 8.563379856682012958e-02
1.590909100000000080e+02 6.658639111048310966e+00 2.669171899783354434e+02 3.050029261583854350e+02 2.017238004927477957e-01 8.540373102044949982e-02
1.654545500000000118e+02 6.696900148155162213e+00 2.670259046314907323e+02 3.050029624440996372e+02 1.944449551272185717e-01 8.315821285735591761e-02
1.718181800000000123e+02 6.733897443448316089e+00 2.671276698493724666e+02 3.050029986325054097e+02 1.963268183372542941e-01 8.292205973175439948e-02
1.781818199999999877e+02 6.768473094997821349e+00 2.672138481001215951e+02 3.050030351149071066e+02 1.946509163907616524e-01 8.195565448412887866e-02
1.845454499999999882e+02 6.803025706817788176e+00 2.672926530002043819e+02 3.050030725900624020e+02 1.894944481824913096e-01 8.030859580764057593e-02
1.909090899999999920e+02 6.837046769319721662e+00 2.673657284427327454e+02 3.050031106718429896e+02 1.923663346573247501e-01 8.045288817544206383e-02
1.972727299999999957e+02 6.867835494959396492e+00 2.674239837877353239e+02 3.050031478788823165e+02 1.845611125690629906e-01 7.837257071603304093e-02
2.036363599999999963e+02 6.897460605051461080e+00 2.674888848182035304e+02 3.050031849534165076e+02 1.794017065377157272e-01 7.685500128406681786e-02
2.100000000000000000e+02 6.926217947173048728e+00 2.675586863760656797e+02 3.050032221304350628e+02 1.807792460001308166e-01 7.676482540860417314e-02
2.163636400000000037e+02 6.955612097895417456e+00 2.676262625074799075e+02 3.050032633861286513e+02 1.702885145116958265e-01 7.408925876903769969e-02
2.227272700000000043e+02 6.986077417503209652e+00 2.676807577678745815e+02 3.050033051728780720e+02 1.674345943822272698e-01 7.312375015936253830e-02
2.290909100000000080e+02 7.017949687284454008e+00 2.677180597944932288e+02 3.050033503115944313e+02 1.662279039125204028e-01 7.251304840563345400e-02
2.354545500000000118e+02 7.048184053597550403e+00 2.677734459729659875e+02 3.050033993322982724e+02 1.586901951227572827e-01 7.049268695181833133e-02
2.418181800000000123e+02 7.078499197143457877e+00 2.678321388456902810e+02 3.050034494171843562e+02 1.583558236094645411e-01 7.016391012338385469e-02
2.481818199999999877e+02 7.109677274614064402e+00 2.678919123129444415e+02 3.050035008167702131e+02 1.547208437132950587e-01 6.900701782027432452e-02
2.545454499999999882e+02 7.138868582497312154e+00 2.679547643768011085e+02 3.050035558385092713e+02 1.491649432245938656e-01 6.740444588757273092e-02
2.609090899999999920e+02 7.166964383024125418e+00 2.680243528290640711e+02 3.050036130548652409e+02 1.496259552250077951e-01 6.722438243307915506e-02
2.672727300000000241e+02 7.193195579643085757e+00 2.681284451644867772e+02 3.050036699151136759e+02 1.438439961653142363e-01 6.556898196827899705e-02
2.736363600000000247e+02 7.219622829779348550e+00 2.682350029916865424e+02 3.050037249689439136e+02 1.402619355912084198e-01 6.444319041177815066e-02
2.800000000000000000e+02 7.246202105770034763e+00 2.683432351045523205e+02 3.050037791935816927e+02 1.430412611460938066e-01 6.492182819476312317e-02
