# z WS WD Th TKE TI
1.654545500000000118e+02 6.730389919711172730e+00 2.670756391909825425e+02 3.050029180258802057e+02 2.146215309728243537e-01 8.433171493689162190e-02
1.718181800000000123e+02 6.764974534659322636e+00 2.672140486067513052e+02 3.050029618581784234e+02 2.101875766741796436e-01 8.281992000312625446e-02
1.781818199999999877e+02 6.798517962708247708e+00 2.673191410104725492e+02 3.050030063581784248e+02 2.079182657284862901e-01 8.173871274443873791e-02
1.845454499999999882e+02 6.831556923319906716e+00 2.674113695163974853e+02 3.050030514347829467e+02 2.056933389959402503e-01 8.071520285250462223e-02
1.909090899999999920e+02 6.863947592902435169e+00 2.675203400088305443e+02 3.050030959368532990e+02 2.019286286708016909e-01 7.947135941364043277e-02
1.972727299999999957e+02 6.893947983461945483e+00 2.676255129194247502e+02 3.050031376759836803e+02 1.980795294795217598e-01 7.818907683744277803e-02
2.036363599999999963e+02 6.920045815926783028e+00 2.677007168820082939e+02 3.050031806055903303e+02 1.934054172578463515e-01 7.676219987787860632e-02
2.100000000000000000e+02 6.946611302044462199e+00 2.677711616239603813e+02 3.050032268633543140e+02 1.937700816177846119e-01 7.653866850745592865e-02
2.163636400000000037e+02 6.974077927255168952e+00 2.678640991176607145e+02 3.050032800993791398e+02 1.902282538441824600e-01 7.555115797086704721e-02
2.227272700000000043e+02 7.002183791665651746e+00 2.679503250097379805e+02 3.050033368519671626e+02 1.911803463435834127e-01 7.554974838333181064e-02
2.290909100000000080e+02 7.031581435976321792e+00 2.680223876805548571e+02 3.050033917898553000e+02 1.923549336236508589e-01 7.559357369800293047e-02
2.354545500000000118e+02 7.058034226357378316e+00 2.680894706647340513e+02 3.050034429358180432e+02 1.920063665096965466e-01 7.527722184377003134e-02
2.418181800000000123e+02 7.082706325669910541e+00 2.681733204914157227e+02 3.050034904213252958e+02 1.901385168020579552e-01 7.470857723981662313e-02
2.481818199999999877e+02 7.106624821659674573e+00 2.682632252002710516e+02 3.050035467577642407e+02 1.899593912481315761e-01 7.453857402534400101e-02
2.545454499999999882e+02 7.131505125514554067e+00 2.683610163610718473e+02 3.050036051366461720e+02 1.898724466053951787e-01 7.442273523628648024e-02
2.609090899999999920e+02 7.156688771179846142e+00 2.684427124705397887e+02 3.050036660641824255e+02 1.852827626468828148e-01 7.346505666219294017e-02
2.672727300000000241e+02 7.185017686423179839e+00 2.685023841155931450e+02 3.050037296076606594e+02 1.782710127837850433e-01 7.188813690905455911e-02
2.736363600000000247e+02 7.211944067280811943e+00 2.685694083451171537e+02 3.050038001997932042e+02 1.755763732373145092e-01 7.120858386361639258e-02
2.800000000000000000e+02 7.236811578111165488e+00 2.686737966748167423e+02 3.050038653902693113e+02 1.749752691499132928e-01 7.099937303387220122e-02
