# z WS WD Th TKE TI
0.000000000000000000e+00 1.662379143140011450e+00 2.638012465847460248e+02 3.050022194710143708e+02 2.745454662028339321e-01 4.396684487641608907e-01
6.363636399999999860e+00 4.046563937210044593e+00 2.640287120260869074e+02 3.050022346573497316e+02 4.070846617350938335e-01 2.128402928584950948e-01
1.272727300000000028e+01 4.647881060022660549e+00 2.641888512433411620e+02 3.050022557619043937e+02 4.251205611134828977e-01 1.835682459230146835e-01
1.909090899999999991e+01 4.936315139814146491e+00 2.644277300159591277e+02 3.050022743695645318e+02 3.971683842905305850e-01 1.643305438046926692e-01
2.545454499999999953e+01 5.128864422720138094e+00 2.645426118763772365e+02 3.050022926552786089e+02 3.909858263232334208e-01 1.554191010848638976e-01
3.181818200000000019e+01 5.278151036331499846e+00 2.645302762969317314e+02 3.050023100144917407e+02 3.610707091345842223e-01 1.440058407645883609e-01
3.818181799999999981e+01 5.412431172943639623e+00 2.645581787242469431e+02 3.050023290890258068e+02 3.486883994899045991e-01 1.373849922374959232e-01
4.454545499999999691e+01 5.534499680713974357e+00 2.646779153078910554e+02 3.050023500269139163e+02 3.467835958256853535e-01 1.337691684499113520e-01
5.090909099999999654e+01 5.642390512982300876e+00 2.648229368041124303e+02 3.050023720548642814e+02 3.324510706033346197e-01 1.277529540366942329e-01
5.727272700000000327e+01 5.739469249910464477e+00 2.649804139653048765e+02 3.050023962670796891e+02 3.234283012939918600e-01 1.235872290369029874e-01
6.363636400000000037e+01 5.840038217936796450e+00 2.651457936437789726e+02 3.050024239886118949e+02 3.113719771482896248e-01 1.191727261106678981e-01
7.000000000000000000e+01 5.933895328820361748e+00 2.652765550611608205e+02 3.050024522060033405e+02 3.144652658463012451e-01 1.180737557114397152e-01
7.636363599999999963e+01 6.018057608672866543e+00 2.653853231325101092e+02 3.050024827505167764e+02 2.971621955975794482e-01 1.131006613244763398e-01
8.272727299999999673e+01 6.096420113657943674e+00 2.655066531181213350e+02 3.050025115165624356e+02 2.885335102549421715e-01 1.098171608759252738e-01
8.909090899999999635e+01 6.167859956172646818e+00 2.656725813310734452e+02 3.050025406055893882e+02 2.799016820604990907e-01 1.068171770182056862e-01
9.545454499999999598e+01 6.228174950500434903e+00 2.658242392703000405e+02 3.050025685662519663e+02 2.754896717149052932e-01 1.050852642023843431e-01
1.018181799999999981e+02 6.287924195194913857e+00 2.659547016309010701e+02 3.050025955103512842e+02 2.670495005123998955e-01 1.025723889455358168e-01
1.081818200000000019e+02 6.346947278257718317e+00 2.660695123250209235e+02 3.050026258178048693e+02 2.615431698587100118e-01 1.005038561282250026e-01
1.145454500000000024e+02 6.401043470704228078e+00 2.662187872085536355e+02 3.050026584068318130e+02 2.578896885855795351e-01 9.873090810515293414e-02
1.209090900000000062e+02 6.453601423661906367e+00 2.663436727519575697e+02 3.050026913809519442e+02 2.501070765545775343e-01 9.621054351063072774e-02
1.272727299999999957e+02 6.501065877604608190e+00 2.664383716959222284e+02 3.050027246811590658e+02 2.494296167707846790e-01 9.534939397350586376e-02
