# z WS WD Th TKE TI
0.000000000000000000e+00 1.648754030539510085e+00 2.655636922802414119e+02 3.050022288457541322e+02 2.921627176954141314e-01 4.516112484061069465e-01
6.363636399999999860e+00 4.103545401634006495e+00 2.655658631134566576e+02 3.050022434937873186e+02 3.247558287023591395e-01 1.869195709770101466e-01
1.272727300000000028e+01 4.686560141625056630e+00 2.655686662581965720e+02 3.050022626004126778e+02 3.274547780042424416e-01 1.595465622366450953e-01
1.909090899999999991e+01 4.966596687161731971e+00 2.655702244700816550e+02 3.050022820993773962e+02 3.064557336845928348e-01 1.433330054026541178e-01
2.545454499999999953e+01 5.152111526771741445e+00 2.655720438337330052e+02 3.050023012929592596e+02 3.166163136538268641e-01 1.390055443756728348e-01
3.181818200000000019e+01 5.301122243989611071e+00 2.655756252806118596e+02 3.050023186718412944e+02 3.077228054512791133e-01 1.323527032703717410e-01
3.818181799999999981e+01 5.433953508294702139e+00 2.655790924928942900e+02 3.050023368395431476e+02 3.076720049660972567e-01 1.284737389196918544e-01
4.454545499999999691e+01 5.549041826097332653e+00 2.655820733510315108e+02 3.050023575807441034e+02 3.130526590589889357e-01 1.265290008721019488e-01
5.090909099999999654e+01 5.654013534312620770e+00 2.655842902604004507e+02 3.050023810238084252e+02 3.070386660610000540e-01 1.225770171265325448e-01
5.727272700000000327e+01 5.748707397597394575e+00 2.655872535028643142e+02 3.050024041490672744e+02 3.015526529000823186e-01 1.190378423794734991e-01
6.363636400000000037e+01 5.838664511730071283e+00 2.655901795102799383e+02 3.050024285621108220e+02 2.925730666116312384e-01 1.152168594145087932e-01
7.000000000000000000e+01 5.929426915755903416e+00 2.655926442110232415e+02 3.050024550031047283e+02 2.981924914333700660e-01 1.143610942578380252e-01
7.636363599999999963e+01 6.009973064953675781e+00 2.655950414779988478e+02 3.050024819285706599e+02 2.819306331786528008e-01 1.094120759814566635e-01
8.272727299999999673e+01 6.083311781394209028e+00 2.655972295415529061e+02 3.050025061325044931e+02 2.819903304992544824e-01 1.082478974117210141e-01
8.909090899999999635e+01 6.152862426302309728e+00 2.655994442593300278e+02 3.050025275341608904e+02 2.795819050669930972e-01 1.066211016096853953e-01
9.545454499999999598e+01 6.215835547327594135e+00 2.656002288343818236e+02 3.050025499658379999e+02 2.768561695874852124e-01 1.049091123629811995e-01
1.018181799999999981e+02 6.272069682814223057e+00 2.656013592842743947e+02 3.050025766428567522e+02 2.677955124905359030e-01 1.021437248864930369e-01
1.081818200000000019e+02 6.328201771945014542e+00 2.656024820135506275e+02 3.050026075993785071e+02 2.616452521702352652e-01 1.000252096678177771e-01
1.145454500000000024e+02 6.383743370279773899e+00 2.656038902403332145e+02 3.050026379389230442e+02 2.577681441763658987e-01 9.841872916760585621e-02
1.209090900000000062e+02 6.440394079167040431e+00 2.656058215512001084e+02 3.050026706687367550e+02 2.498152566805915686e-01 9.598870119260151379e-02
