# z WS WD Th TKE TI
0.000000000000000000e+00 2.531123346855022049e+00 2.655638951706953890e+02 3.050022028705990920e+02 2.633497068222236392e-01 2.831021367759519736e-01
6.363636399999999860e+00 3.635689503694851332e+00 2.655622854685372545e+02 3.050022096190462548e+02 2.664741853668767813e-01 1.956102579711674894e-01
1.272727300000000028e+01 4.414206299145028822e+00 2.655639089486156195e+02 3.050022215383008302e+02 3.183304056323623676e-01 1.740775960809016476e-01
1.909090899999999991e+01 4.855832086195777997e+00 2.655683507174263127e+02 3.050022390859198822e+02 3.305639053645988423e-01 1.595486931083331672e-01
2.545454499999999953e+01 5.091693177293048933e+00 2.655705239414000403e+02 3.050022600010337328e+02 3.100854149570442808e-01 1.454986549288805886e-01
3.181818200000000019e+01 5.276133980589501782e+00 2.655719257205232680e+02 3.050022826946157011e+02 2.907654065133551957e-01 1.345355546792778578e-01
3.818181799999999981e+01 5.431700738206436618e+00 2.655744572094232581e+02 3.050023069834356306e+02 2.800167518294893743e-01 1.270290457380957305e-01
4.454545499999999691e+01 5.549498886097363304e+00 2.655768752302763573e+02 3.050023307432700790e+02 2.735983885312897601e-01 1.222038882440058122e-01
5.090909099999999654e+01 5.652577054679869484e+00 2.655793565206402604e+02 3.050023538209100025e+02 2.699039748920351034e-01 1.191206362494346555e-01
5.727272700000000327e+01 5.746779798714994669e+00 2.655821034859463907e+02 3.050023784161481331e+02 2.617840002326519144e-01 1.148760559373547541e-01
6.363636400000000037e+01 5.834167649230819208e+00 2.655839509962153784e+02 3.050024041459616910e+02 2.563360319724545811e-01 1.114945225412272978e-01
7.000000000000000000e+01 5.921796822100910518e+00 2.655852476631823151e+02 3.050024302370590590e+02 2.584223042215627597e-01 1.101096187479702476e-01
7.636363599999999963e+01 5.999874827373724351e+00 2.655875436399601881e+02 3.050024572908894243e+02 2.457218082167222095e-01 1.051368878062725470e-01
8.272727299999999673e+01 6.066461235939564212e+00 2.655899353434959380e+02 3.050024839378874617e+02 2.427626365554425014e-01 1.032190248304315217e-01
8.909090899999999635e+01 6.132184595412744521e+00 2.655922006027123530e+02 3.050025111697715943e+02 2.458781198588280703e-01 1.028747197862764778e-01
9.545454499999999598e+01 6.199665228123258487e+00 2.655945489268358983e+02 3.050025403291920156e+02 2.429712028975357652e-01 1.007661661022208055e-01
1.018181799999999981e+02 6.250557122515598252e+00 2.655965937417231544e+02 3.050025713643887570e+02 2.405854906700365947e-01 9.951370641569301512e-02
1.081818200000000019e+02 6.291055398686192568e+00 2.655983193345896325e+02 3.050026027184260329e+02 2.395725990439382669e-01 9.866211952090025994e-02
1.145454500000000024e+02 6.340686057122434605e+00 2.656000639744971181e+02 3.050026337608691165e+02 2.419913656885932796e-01 9.845107582768225507e-02
1.209090900000000062e+02 6.390185180489659444e+00 2.656018861101653670e+02 3.050026640082811014e+02 2.450116769032173458e-01 9.874011934560049386e-02
1.272727299999999957e+02 6.438913359670126901e+00 2.656042826728452724e+02 3.050026947774323958e+02 2.378705371277949621e-01 9.622790380869374049e-02
1.336363599999999963e+02 6.490668191180705371e+00 2.656070040914843844e+02 3.050027255062109361e+02 2.335541657561304163e-01 9.433336332304805005e-02
1.400000000000000000e+02 6.536325768277746917e+00 2.656095197893479849e+02 3.050027566770184535e+02 2.351649246020930673e-01 9.406533691959687027e-02
1.463636400000000037e+02 6.576492406994293383e+00 2.656111318792518432e+02 3.050027893333331690e+02 2.256294108713493840e-01 9.115057688920252810e-02
1.527272700000000043e+02 6.620031176757643188e+00 2.656127011763513792e+02 3.050028230910972411e+02 2.200095561070330441e-01 8.910311494049130698e-02
1.590909100000000080e+02 6.662056844137846490e+00 2.656143662430739596e+02 3.050028586252587388e+02 2.162910707342589334e-01 8.757648252080507678e-02
1.654545500000000118e+02 6.704519615603595994e+00 2.656158034315102441e+02 3.050028975900619912e+02 2.094570810602400246e-01 8.529415830750972094e-02
1.718181800000000123e+02 6.748346277427916817e+00 2.656170975037436506e+02 3.050029382826086817e+02 2.047013068558006799e-01 8.381595262537255842e-02
1.781818199999999877e+02 6.785039737430270002e+00 2.656181297918756741e+02 3.050029798405797692e+02 2.020952536803851673e-01 8.287702753381218090e-02
1.845454499999999882e+02 6.815583358967665539e+00 2.656192143458808346e+02 3.050030210269151212e+02 2.017153140335801453e-01 8.244703187736659999e-02
1.909090899999999920e+02 6.849506389299434339e+00 2.656206808589494131e+02 3.050030619886128989e+02 2.013526826934779190e-01 8.206364277874050872e-02
1.972727299999999957e+02 6.884673307832729350e+00 2.656226749435268175e+02 3.050031031977226803e+02 1.960925929885594665e-01 8.034276806081955269e-02
2.036363599999999963e+02 6.911198497238655314e+00 2.656251424227506845e+02 3.050031464968946011e+02 1.930068002637553570e-01 7.926596482216931305e-02
2.100000000000000000e+02 6.934408155492651105e+00 2.656278741680071676e+02 3.050031920383024158e+02 1.932143722034847244e-01 7.908864460217125691e-02
2.163636400000000037e+02 6.960412123573306964e+00 2.656304847347155373e+02 3.050032390020704725e+02 1.864936775228224208e-01 7.704298647658033850e-02
2.227272700000000043e+02 6.986474615971182800e+00 2.656330016065354584e+02 3.050032866200827470e+02 1.832683979078459091e-01 7.598076984389105781e-02
