# z WS WD Th TKE TI
0.000000000000000000e+00 1.730884891556086824e+00 2.655681139175380849e+02 3.050022286128356086e+02 2.896167966394589399e-01 4.291454160382306982e-01
6.363636399999999860e+00 4.142877422383494768e+00 2.655656355877425199e+02 3.050022428115934758e+02 3.463292298081051546e-01 1.911048461810906096e-01
1.272727300000000028e+01 4.682665187604976076e+00 2.655684305089819759e+02 3.050022616376803626e+02 3.561100502057468198e-01 1.657594247738305160e-01
1.909090899999999991e+01 4.945836727849226122e+00 2.655718242624302547e+02 3.050022798405787512e+02 3.422718335757087282e-01 1.514984159669862107e-01
2.545454499999999953e+01 5.127445704358490453e+00 2.655741917513070689e+02 3.050022979658374425e+02 3.531438711460795910e-01 1.470227813151804563e-01
3.181818200000000019e+01 5.287570401074646043e+00 2.655759906153654129e+02 3.050023167111789917e+02 3.401833423185285366e-01 1.387465196458516070e-01
3.818181799999999981e+01 5.422997547609386793e+00 2.655784429007138101e+02 3.050023365859200908e+02 3.361998226637890608e-01 1.337477747670300088e-01
4.454545499999999691e+01 5.537135602575154358e+00 2.655808075958518089e+02 3.050023552132493592e+02 3.337496429900635442e-01 1.299872879555571681e-01
5.090909099999999654e+01 5.642402985010018135e+00 2.655834214854905326e+02 3.050023761242225646e+02 3.216317236990537398e-01 1.248272653998719756e-01
5.727272700000000327e+01 5.744916430316599154e+00 2.655860252902987213e+02 3.050023993043467385e+02 3.146758792042023689e-01 1.211640804960005813e-01
6.363636400000000037e+01 5.836964767595229198e+00 2.655885403436652723e+02 3.050024252712205453e+02 3.058989182644121230e-01 1.176485358913581386e-01
7.000000000000000000e+01 5.924265491209054879e+00 2.655909524577446064e+02 3.050024532888189128e+02 3.096490988485158247e-01 1.167531719087839120e-01
7.636363599999999963e+01 6.004177779292029449e+00 2.655934140263209429e+02 3.050024789130427507e+02 2.949447409488828442e-01 1.125224731617753687e-01
8.272727299999999673e+01 6.077585739413440713e+00 2.655954983944422452e+02 3.050025027608688788e+02 2.907683792823290148e-01 1.104067148888719929e-01
8.909090899999999635e+01 6.153335134894184932e+00 2.655971391827334287e+02 3.050025307701857855e+02 2.858470271040962629e-01 1.080636396193008081e-01
9.545454499999999598e+01 6.219925104449806952e+00 2.655985008234294469e+02 3.050025601759829783e+02 2.859646094389275972e-01 1.071521987743859344e-01
1.018181799999999981e+02 6.277186347737724326e+00 2.656003268357476372e+02 3.050025891345751461e+02 2.756772414247002922e-01 1.042344183133506325e-01
1.081818200000000019e+02 6.331527864361341962e+00 2.656022214616515953e+02 3.050026203405793126e+02 2.659641413472974003e-01 1.013071831337950673e-01
1.145454500000000024e+02 6.389263679670367679e+00 2.656038533464831062e+02 3.050026549513454484e+02 2.610630448525101399e-01 9.935779227995700236e-02
1.209090900000000062e+02 6.442789787949976699e+00 2.656052767480285866e+02 3.050026903612834417e+02 2.531396826113869181e-01 9.705124987750161913e-02
1.272727299999999957e+02 6.495188717603974204e+00 2.656066627844312507e+02 3.050027255341612999e+02 2.476676211231760572e-01 9.526824083644745700e-02
1.336363599999999963e+02 6.543570079605598444e+00 2.656078347124908419e+02 3.050027611594201744e+02 2.444522120771387974e-01 9.394881152054573858e-02
1.400000000000000000e+02 6.588348133474677404e+00 2.656093078365688029e+02 3.050027964265008791e+02 2.444726640080327473e-01 9.318271684752282846e-02
1.463636400000000037e+02 6.630574348812007024e+00 2.656108279611542571e+02 3.050028279824014135e+02 2.375740435537267992e-01 9.103414027798281682e-02
1.527272700000000043e+02 6.672012930557984056e+00 2.656123917252895694e+02 3.050028598695649862e+02 2.365208883539233198e-01 9.014052838061174799e-02
1.590909100000000080e+02 6.708580119930177332e+00 2.656140626442407324e+02 3.050028928654243146e+02 2.338245389329740020e-01 8.899378262945135953e-02
1.654545500000000118e+02 6.742521792961628790e+00 2.656155528930679566e+02 3.050029276842649324e+02 2.299913017926486225e-01 8.762745391686345420e-02
