# z WS WD Th TKE TI
0.000000000000000000e+00 1.920850783823369712e+00 2.655620695795300890e+02 3.050021904078657258e+02 2.569378295599261119e-01 3.600425339075024600e-01
6.363636399999999860e+00 3.841947538077782554e+00 2.655599155107490219e+02 3.050022024782592212e+02 2.422812388595974031e-01 1.759918413439805762e-01
1.272727300000000028e+01 4.501565723722828594e+00 2.655607849040553106e+02 3.050022214358163524e+02 2.483462032146076526e-01 1.487928452048711270e-01
1.909090899999999991e+01 4.808695920600893459e+00 2.655632274267629782e+02 3.050022444865410307e+02 2.560193911283114021e-01 1.391109340299197528e-01
2.545454499999999953e+01 5.033050813699190940e+00 2.655647781585203688e+02 3.050022685973071361e+02 2.597050239789828185e-01 1.323895022423828005e-01
3.181818200000000019e+01 5.199583903961370268e+00 2.655664097421786209e+02 3.050022931935804991e+02 2.449567501159310989e-01 1.234651809711519582e-01
3.818181799999999981e+01 5.337926700505719602e+00 2.655684511658660654e+02 3.050023172432700562e+02 2.429980671204369502e-01 1.191314755978387097e-01
4.454545499999999691e+01 5.462716792626498119e+00 2.655706956023898897e+02 3.050023407225661458e+02 2.467243314722133152e-01 1.167752249146111893e-01
5.090909099999999654e+01 5.568727846282117255e+00 2.655737326067752520e+02 3.050023647857132119e+02 2.355274114671925545e-01 1.115040665856795871e-01
5.727272700000000327e+01 5.674031644516214890e+00 2.655764946878757087e+02 3.050023914523799249e+02 2.258525433915422598e-01 1.067988984470735203e-01
6.363636400000000037e+01 5.763891286377144318e+00 2.655796733425674461e+02 3.050024194068314500e+02 2.271936624036933472e-01 1.052591474928034204e-01
7.000000000000000000e+01 5.851519199466078014e+00 2.655826649085764188e+02 3.050024477484465706e+02 2.369739954654770386e-01 1.058179633582350260e-01
7.636363599999999963e+01 5.929036296645691984e+00 2.655861722805838667e+02 3.050024769761899961e+02 2.264932485369065274e-01 1.019214522752238533e-01
8.272727299999999673e+01 6.003681072863797930e+00 2.655894183657021586e+02 3.050025086325047710e+02 2.243899825058246478e-01 1.001512920659032441e-01
8.909090899999999635e+01 6.074970395120297795e+00 2.655924512399324158e+02 3.050025394948236226e+02 2.303656133847195586e-01 1.001648687231235929e-01
9.545454499999999598e+01 6.139458149442002188e+00 2.655959212667806923e+02 3.050025710828154502e+02 2.345311065158430519e-01 1.000192016760143993e-01
1.018181799999999981e+02 6.203581212115711452e+00 2.655991221348251088e+02 3.050026036118010211e+02 2.255946460290093047e-01 9.681460895493529395e-02
1.081818200000000019e+02 6.266194820111408603e+00 2.656015730516220401e+02 3.050026366666666604e+02 2.228461459681320422e-01 9.514643288704173474e-02
1.145454500000000024e+02 6.326259858901711830e+00 2.656038044466625934e+02 3.050026716376812601e+02 2.267007643631010205e-01 9.491002483315102989e-02
