# Y/D TKE
-4.0000 0.1985
-3.9213 0.2174
-3.8425 0.2218
-3.7638 0.2151
-3.6850 0.2137
-3.6063 0.2122
-3.5276 0.2121
-3.4488 0.1988
-3.3701 0.1888
-3.2913 0.1862
-3.2126 0.1969
-3.1339 0.1962
-3.0551 0.1807
-2.9764 0.1637
-2.8976 0.1519
-2.8189 0.1555
-2.7402 0.1636
-2.6614 0.1946
-2.5827 0.2497
-2.5039 0.2908
-2.4252 0.3067
-2.3465 0.2898
-2.2677 0.2739
-2.1890 0.2673
-2.1102 0.2648
-2.0315 0.2753
-1.9528 0.2927
-1.8740 0.3024
-1.7953 0.2946
-1.7165 0.2967
-1.6378 0.3257
-1.5591 0.3425
-1.4803 0.3532
-1.4016 0.3714
-1.3228 0.3846
-1.2441 0.4022
-1.1654 0.4239
-1.0866 0.4366
-1.0079 0.4394
-0.9291 0.4547
-0.8504 0.4795
-0.7717 0.5493
-0.6929 0.5756
-0.6142 0.5956
-0.5354 0.6130
-0.4567 0.6437
-0.3780 0.6967
-0.2992 0.7134
-0.2205 0.6604
-0.1417 0.6188
-0.0630 0.5959
0.0157 0.5699
0.0945 0.5576
0.1732 0.5582
0.2520 0.5316
0.3307 0.5095
0.4094 0.5434
0.4882 0.5561
0.5669 0.5337
0.6457 0.5091
0.7244 0.4904
0.8031 0.4630
0.8819 0.4361
0.9606 0.4179
1.0394 0.3983
1.1181 0.3887
1.1969 0.3847
1.2756 0.3846
1.3543 0.4051
1.4331 0.4533
1.5118 0.5096
1.5906 0.5623
1.6693 0.5902
1.7480 0.5950
1.8268 0.6156
1.9055 0.6282
1.9843 0.5954
2.0630 0.5502
2.1417 0.5208
2.2205 0.4790
2.2992 0.4166
2.3780 0.3716
2.4567 0.3576
2.5354 0.3276
2.6142 0.2672
2.6929 0.2282
2.7717 0.2145
2.8504 0.2098
2.9291 0.2031
3.0079 0.1967
3.0866 0.2095
3.1654 0.2209
3.2441 0.2171
3.3228 0.2235
3.4016 0.2347
3.4803 0.2283
3.5591 0.2264
3.6378 0.2328
3.7165 0.2398
3.7953 0.2496
3.8740 0.2386
3.9528 0.2096
