#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
380.0 9.76340367548211 9.760118482226204 0.003285193255905483 -50
390.0 9.76877697169403 9.765397529760527 0.0033794419335020365 -50
400.0 9.774189854126792 9.770709945632731 0.0034799084940608793 -50
410.0 9.780707265126358 9.77730745269185 0.0033998124345071545 -50
420.0 9.787266280620663 9.783941746118433 0.0033245345022301365 -50
430.0 9.792013578458972 9.78857859238736 0.0034349860716123004 -50
440.0 9.796801284137432 9.793255200839502 0.0035460832979303802 -50
450.0 9.798969865754675 9.796013628012261 0.0029562377424134922 -50
460.0 9.801179724792881 9.798810600185824 0.0023691246070569605 -50
470.0 9.799493382868697 9.797998007137373 0.0014953757313236338 -50
480.0 9.797844776327496 9.79722288213827 0.000621894189226424 -50
490.0 9.796791279748607 9.796719104552846 7.217519576130371e-05 -50
500.0 9.79578023004382 9.796257425060777 -0.00047719501695731026 -50
0.0 3.3142560592141046 3.315079259665097 -0.0008232004509922675 -32
10.0 6.394984247864074 6.393828884598982 0.0011553632650924683 -32
20.0 7.695890545689747 7.700324966715762 -0.004434421026014768 -32
30.0 8.176667948197586 8.171904915661504 0.00476303253608279 -32
40.0 8.49113440525154 8.486755409307106 0.0043789959444335835 -32
50.0 8.685459853498825 8.67484478413757 0.010615069361255891 -32
60.0 8.83184372481872 8.810251008125869 0.0215927166928509 -32
70.0 8.947535804105861 8.926243899815477 0.021291904290384522 -32
80.0 9.029112385582456 9.015054416879833 0.014057968702623214 -32
90.0 9.110269594907283 9.100127910310242 0.010141684597041234 -32
100.0 9.16771169613997 9.158562735516703 0.009148960623265978 -32
110.0 9.226412792957882 9.218696094973716 0.007716697984166743 -32
120.0 9.26993172010166 9.26328997047456 0.006641749627100069 -32
130.0 9.321069058961879 9.31001666314397 0.0110523958179094 -32
140.0 9.355764964438857 9.340495424726885 0.015269539711971092 -32
150.0 9.395058197335704 9.376774078753078 0.018284118582625908 -32
160.0 9.42283489460005 9.40102773419748 0.021807160402570247 -32
170.0 9.456710147991023 9.433212686628547 0.023497461362476102 -32
180.0 9.476854991147608 9.45533452895799 0.021520462189617007 -32
190.0 9.502632464608798 9.48425976454753 0.01837270006126701 -32
200.0 9.519806436261087 9.500653380485844 0.01915305577524329 -32
210.0 9.544017427557998 9.521169256393339 0.022848171164659092 -32
220.0 9.558396137623014 9.534420379763842 0.023975757859171054 -32
230.0 9.574598273846247 9.554975698579005 0.01962257526724187 -32
240.0 9.583647080995448 9.569229575952937 0.014417505042510825 -32
250.0 9.60209601211312 9.587311077769403 0.014784934343717637 -32
260.0 9.614991796146265 9.598001328636576 0.016990467509689466 -32
270.0 9.633008768692799 9.614201454971761 0.01880731372103739 -32
280.0 9.645096485584821 9.624956170540882 0.020140315043938983 -32
290.0 9.657501370802722 9.636720533796906 0.02078083700581601 -32
300.0 9.664854131589793 9.643301490569334 0.021552641020459617 -32
