# Y/D TKE
-4.0000 0.4398
-3.9213 0.4039
-3.8425 0.3524
-3.7638 0.3023
-3.6850 0.2894
-3.6063 0.3223
-3.5276 0.3563
-3.4488 0.3509
-3.3701 0.3403
-3.2913 0.3525
-3.2126 0.3543
-3.1339 0.3209
-3.0551 0.3106
-2.9764 0.3155
-2.8976 0.3051
-2.8189 0.2765
-2.7402 0.2485
-2.6614 0.2434
-2.5827 0.2466
-2.5039 0.2530
-2.4252 0.2912
-2.3465 0.3198
-2.2677 0.3113
-2.1890 0.2955
-2.1102 0.2931
-2.0315 0.2933
-1.9528 0.3000
-1.8740 0.3015
-1.7953 0.3030
-1.7165 0.3220
-1.6378 0.3477
-1.5591 0.3688
-1.4803 0.3737
-1.4016 0.3506
-1.3228 0.3089
-1.2441 0.2863
-1.1654 0.2819
-1.0866 0.2791
-1.0079 0.2728
-0.9291 0.2772
-0.8504 0.2850
-0.7717 0.2807
-0.6929 0.2830
-0.6142 0.3066
-0.5354 0.3630
-0.4567 0.4356
-0.3780 0.4849
-0.2992 0.5805
-0.2205 0.7173
-0.1417 0.8750
-0.0630 0.9825
0.0157 1.0074
0.0945 0.8661
0.1732 0.7106
0.2520 0.6124
0.3307 0.5620
0.4094 0.5642
0.4882 0.6381
0.5669 0.7577
0.6457 0.8011
0.7244 0.8144
0.8031 0.8629
0.8819 0.8582
0.9606 0.7774
1.0394 0.6842
1.1181 0.6073
1.1969 0.4904
1.2756 0.3945
1.3543 0.3181
1.4331 0.2733
1.5118 0.2504
1.5906 0.2326
1.6693 0.2262
1.7480 0.2438
1.8268 0.2726
1.9055 0.2790
1.9843 0.2710
2.0630 0.2770
2.1417 0.2876
2.2205 0.2803
2.2992 0.2614
2.3780 0.2383
2.4567 0.2152
2.5354 0.2095
2.6142 0.1989
2.6929 0.1951
2.7717 0.2132
2.8504 0.2346
2.9291 0.2475
3.0079 0.2503
3.0866 0.2521
3.1654 0.2467
3.2441 0.2337
3.3228 0.2283
3.4016 0.2349
3.4803 0.2369
3.5591 0.2264
3.6378 0.2285
3.7165 0.2365
3.7953 0.2255
3.8740 0.2236
3.9528 0.2386
