# Y/D U V
-4.000000000000000000e+00 6.264999999999999680e+00 -1.335566518129894728e-03
-3.949999999999999734e+00 6.264999999999999680e+00 -1.362469666157753792e-03
-3.899999999999999467e+00 6.264999999999999680e+00 -1.390153542940992821e-03
-3.849999999999999645e+00 6.264999999999999680e+00 -1.418661196855487954e-03
-3.799999999999999378e+00 6.264999999999999680e+00 -1.448030673098272755e-03
-3.749999999999999112e+00 6.264999999999999680e+00 -1.478319654189001221e-03
-3.699999999999998845e+00 6.264999999999999680e+00 -1.509516157034428673e-03
-3.649999999999998579e+00 6.264999999999999680e+00 -1.541677698265432432e-03
-3.599999999999998757e+00 6.264999999999999680e+00 -1.574851784994901055e-03
-3.549999999999998490e+00 6.264999999999999680e+00 -1.609076638602172961e-03
-3.499999999999998224e+00 6.264999999999999680e+00 -1.644406947644464802e-03
-3.449999999999997957e+00 6.264999999999999680e+00 -1.680829319135582114e-03
-3.399999999999997691e+00 6.264999999999999680e+00 -1.718452447333505828e-03
-3.349999999999997868e+00 6.264999999999999680e+00 -1.757310097706646368e-03
-3.299999999999997602e+00 6.264999999999999680e+00 -1.797449411130812996e-03
-3.249999999999997335e+00 6.264999999999999680e+00 -1.838893688922494871e-03
-3.199999999999997069e+00 6.264999999999999680e+00 -1.881753318989373876e-03
-3.149999999999996803e+00 6.264999999999999680e+00 -1.926075512573856806e-03
-3.099999999999996980e+00 6.264999999999999680e+00 -1.971894010632927775e-03
-3.049999999999996714e+00 6.264999999999999680e+00 -2.019271236001229410e-03
-2.999999999999996447e+00 6.264999999999999680e+00 -2.068333125519333099e-03
-2.949999999999996181e+00 6.264999999999999680e+00 -2.119123683283435575e-03
-2.899999999999995914e+00 6.264999999999999680e+00 -2.171677057457215530e-03
-2.849999999999996092e+00 6.264999999999999680e+00 -2.226061769163962221e-03
-2.799999999999995826e+00 6.264999999999999680e+00 -2.282486647014685122e-03
-2.749999999999995559e+00 6.264999999999999680e+00 -2.340945691551082550e-03
-2.699999999999995293e+00 6.264999999999999680e+00 -2.401479012071241342e-03
-2.649999999999995026e+00 6.264999999999999680e+00 -2.464262294071268254e-03
-2.599999999999995204e+00 6.264999999999999680e+00 -2.529445384946409775e-03
-2.549999999999994937e+00 6.264999999999999680e+00 -2.597059876529280234e-03
-2.499999999999994671e+00 6.264999999999999680e+00 -2.667197115736586605e-03
-2.449999999999994404e+00 6.264999999999999680e+00 -2.739978395727952695e-03
-2.399999999999994138e+00 6.264999999999999680e+00 -2.815647364372831502e-03
-2.349999999999993872e+00 6.264999999999998792e+00 -2.894267249571604549e-03
-2.299999999999994049e+00 6.264999999999997016e+00 -2.975880796555128473e-03
-2.249999999999993783e+00 6.264999999999988134e+00 -3.060658669786918591e-03
-2.199999999999993516e+00 6.264999999999952607e+00 -3.148953376384693720e-03
-2.149999999999993250e+00 6.264999999999809610e+00 -3.240713385498007748e-03
-2.099999999999992983e+00 6.264999999999240288e+00 -3.336058642759411053e-03
-2.049999999999993161e+00 6.264999999997232116e+00 -3.435327653699804529e-03
-1.999999999999992895e+00 6.264999999989582236e+00 -3.538708886852201703e-03
-1.949999999999992628e+00 6.264999999964015132e+00 -3.646305800568910502e-03
-1.899999999999992584e+00 6.264999999880340731e+00 -3.758249200506824650e-03
-1.849999999999992317e+00 6.264999999612383519e+00 -3.874845864915026777e-03
-1.799999999999992051e+00 6.264999998760664823e+00 -3.996403088908169823e-03
-1.749999999999992006e+00 6.264999996307150099e+00 -4.123013868098534054e-03
-1.699999999999991740e+00 6.264999989275466419e+00 -4.254795247384755494e-03
-1.649999999999991696e+00 6.264999969960305393e+00 -4.392208896316862621e-03
-1.599999999999991429e+00 6.264999917824628284e+00 -4.535515250609571669e-03
-1.549999999999991163e+00 6.264999781198445916e+00 -4.684684204228961590e-03
-1.499999999999991118e+00 6.264999453332284141e+00 -4.840163045997592645e-03
-1.449999999999990852e+00 6.264998662142946984e+00 -5.002299773349400125e-03
-1.399999999999990585e+00 6.264996774137841840e+00 -5.171240217475137416e-03
-1.349999999999990541e+00 6.264992597596772406e+00 -5.347216410076202284e-03
-1.299999999999990274e+00 6.264983691142686162e+00 -5.530462872359259360e-03
-1.249999999999990230e+00 6.264964734627938014e+00 -5.721460177495064914e-03
-1.199999999999989964e+00 6.264925943821054943e+00 -5.920337961748600372e-03
-1.149999999999989697e+00 6.264850272565765543e+00 -6.127224630092190788e-03
-1.099999999999989653e+00 6.264707360956124127e+00 -6.342294602680789012e-03
-1.049999999999989386e+00 6.264437605933441233e+00 -6.566016069155335144e-03
-9.999999999999892308e-01 6.263958645355273802e+00 -6.798587111373502467e-03
-9.499999999999890754e-01 6.263129061038993584e+00 -7.039775966071318281e-03
-8.999999999999889200e-01 6.261736518302176258e+00 -7.289654838692292277e-03
-8.499999999999887645e-01 6.259434177329015192e+00 -7.548869990833016047e-03
-7.999999999999884981e-01 6.255762704087008075e+00 -7.816759909608353429e-03
-7.499999999999883427e-01 6.250166450961859077e+00 -8.093568694826407117e-03
-6.999999999999881872e-01 6.241805633684844423e+00 -8.378708312347851045e-03
-6.499999999999880318e-01 6.229471867707064625e+00 -8.672458971379973930e-03
-5.999999999999878764e-01 6.212086162978372350e+00 -8.974030749936324006e-03
-5.499999999999876099e-01 6.188243303505510440e+00 -9.282738170429899807e-03
-4.999999999999874545e-01 6.156425733947110679e+00 -9.597993992449042194e-03
-4.499999999999872990e-01 6.114618432612879850e+00 -9.919116653642395809e-03
-3.999999999999870881e-01 6.061823658634996725e+00 -1.024489801140513259e-02
-3.499999999999869327e-01 5.996883529079206632e+00 -1.057390408678616708e-02
-2.999999999999867772e-01 5.918994793515345521e+00 -1.090468482388981704e-02
-2.499999999999865663e-01 5.827582388189922469e+00 -1.123573353181800231e-02
