# Y/D U V
-2.349999999999993872e+00 6.264999999998051017e+00 -1.934895120835248769e-03
-2.299999999999994049e+00 6.264999999994483204e+00 -1.986109832239123761e-03
-2.249999999999993783e+00 6.264999999984934398e+00 -2.039306854110205583e-03
-2.199999999999993516e+00 6.264999999959829147e+00 -2.094479830955528130e-03
-2.149999999999993250e+00 6.264999999895580984e+00 -2.151718055075690916e-03
-2.099999999999992983e+00 6.264999999731854174e+00 -2.211190696489786882e-03
-2.049999999999993161e+00 6.264999999332284020e+00 -2.273021168308310067e-03
-1.999999999999992895e+00 6.264999998357232869e+00 -2.337196636563754551e-03
-1.949999999999992628e+00 6.264999996145996342e+00 -2.403900296453346727e-03
-1.899999999999992584e+00 6.264999990977112354e+00 -2.473287027263636889e-03
-1.849999999999992317e+00 6.264999979313066625e+00 -2.545466267789965251e-03
-1.799999999999992051e+00 6.264999953966800206e+00 -2.620511841022115512e-03
-1.749999999999992006e+00 6.264999900670327193e+00 -2.698565054369132452e-03
-1.699999999999991740e+00 6.264999785647234809e+00 -2.779849420921907607e-03
-1.649999999999991696e+00 6.264999550186125532e+00 -2.864485401388340916e-03
-1.599999999999991429e+00 6.264999083891859222e+00 -2.952574429565233555e-03
-1.549999999999991163e+00 6.264998182133213689e+00 -3.044267743799363921e-03
-1.499999999999991118e+00 6.264996421677099470e+00 -3.139898481720585638e-03
-1.449999999999990852e+00 6.264993071279282510e+00 -3.239455998053792848e-03
-1.399999999999990585e+00 6.264986990254727495e+00 -3.343169357465565830e-03
-1.349999999999990541e+00 6.264976200397780026e+00 -3.451211312098707157e-03
-1.299999999999990274e+00 6.264956765894184265e+00 -3.563961626083727435e-03
-1.249999999999990230e+00 6.264923071132121990e+00 -3.681383591924312394e-03
-1.199999999999989964e+00 6.264866575229881107e+00 -3.803726576095360114e-03
-1.149999999999989697e+00 6.264773346254062680e+00 -3.931172122216186095e-03
-1.099999999999989653e+00 6.264618661340001005e+00 -4.064161621868163030e-03
-1.049999999999989386e+00 6.264374256585866441e+00 -4.202715213467241376e-03
-9.999999999999892308e-01 6.263993446427599032e+00 -4.346951324249529944e-03
-9.499999999999890754e-01 6.263409408623677344e+00 -4.497106486433795000e-03
-8.999999999999889200e-01 6.262523302914114076e+00 -4.653696869231083513e-03
-8.499999999999887645e-01 6.261220186016908329e+00 -4.816573207218956612e-03
-7.999999999999884981e-01 6.259338877873258156e+00 -4.985872735474966219e-03
-7.499999999999883427e-01 6.256667041365515658e+00 -5.161892323640178415e-03
-6.999999999999881872e-01 6.252919278027836647e+00 -5.344992992884902566e-03
-6.499999999999880318e-01 6.247798635079746532e+00 -5.534896031555242013e-03
-5.999999999999878764e-01 6.240946904406341922e+00 -5.731744669449260338e-03
-5.499999999999876099e-01 6.231896835446252503e+00 -5.935713442290217051e-03
-4.999999999999874545e-01 6.220111847336061928e+00 -6.146839705957038782e-03
-4.499999999999872990e-01 6.205164916921245499e+00 -6.364844608717954225e-03
-3.999999999999870881e-01 6.186547599862996627e+00 -6.589614391705479399e-03
-3.499999999999869327e-01 6.163626390117769915e+00 -6.820937062550208943e-03
-2.999999999999867772e-01 6.135930332976891499e+00 -7.058697469974136926e-03
-2.499999999999865663e-01 6.103184247159513021e+00 -7.302142213285095496e-03
-1.999999999999863831e-01 6.065141008743699658e+00 -7.550697783920722050e-03
-1.499999999999862277e-01 6.021540340141078751e+00 -7.803897909842696587e-03
-9.999999999998603062e-02 5.972521105293976618e+00 -8.060841494241998903e-03
-4.999999999998585437e-02 5.918496087423590346e+00 -8.320468344852073247e-03
1.432275120902249174e-14 5.859949741891361086e+00 -8.581724893256498926e-03
5.000000000001450506e-02 5.797539826368316440e+00 -8.843178533447482517e-03
1.000000000000146744e-01 5.732371295177292936e+00 -9.103235608505027068e-03
1.500000000000148714e-01 5.665542774575529350e+00 -9.360390295573766534e-03
2.000000000000150269e-01 5.598319767053776097e+00 -9.612807038267083201e-03
2.500000000000152101e-01 5.532112092858556096e+00 -9.858175724639303694e-03
3.000000000000154210e-01 5.468310760488568789e+00 -1.009449773980519195e-02
3.500000000000155764e-01 5.408027958550727377e+00 -1.031984128876325436e-02
4.000000000000157319e-01 5.352654589088342796e+00 -1.053171446764442423e-02
4.500000000000159428e-01 5.303356196582242887e+00 -1.072719511757520491e-02
5.000000000000160982e-01 5.260700127885498567e+00 -1.090460221360439047e-02
