f,Suu,Svv,Sww
0.3036,0.0006779346734456834,0.0008082798353263439,0.0008204924904969231
0.3038,0.0006776516492495963,0.0008079825112967117,0.000820209668582533
0.304,0.0006773689199807506,0.0008076854568718572,0.0008199270527481624
0.3042,0.0006770864851482203,0.0008073886716675476,0.0008196446428262788
0.3044,0.0006768043442622015,0.0008070921553002872,0.0008193624386493016
0.3046,0.0006765224968340074,0.000806795907387314,0.0008190804400496015
0.3048,0.0006762409423760676,0.0008064999275465971,0.0008187986468595016
0.305,0.0006759596804019239,0.0008062042153968371,0.000818517058911281
0.3052,0.0006756787104262254,0.0008059087705574621,0.0008182356760371735
0.3054,0.0006753980319647285,0.0008056135926486277,0.0008179544980693709
0.3056,0.0006751176445342906,0.0008053186812912143,0.0008176735248400232
0.3058,0.0006748375476528688,0.0008050240361068256,0.0008173927561812408
0.306,0.0006745577408395165,0.0008047296567177879,0.0008171121919250948
0.3062,0.0006742782236143791,0.0008044355427471458,0.0008168318319036197
0.3064,0.0006739989954986925,0.0008041416938186642,0.0008165516759488136
0.3066,0.0006737200560147784,0.000803848109556823,0.0008162717238926407
0.3068,0.0006734414046860426,0.0008035547895868185,0.0008159919755670303
0.307,0.0006731630410369702,0.0008032617335345591,0.0008157124308038811
0.3072,0.000672884964593125,0.0008029689410266654,0.0008154330894350599
0.3074,0.0006726071748811427,0.0008026764116904675,0.0008151539512924052
0.3076,0.0006723296714287323,0.0008023841451540047,0.0008148750162077261
0.3078,0.000672052453764669,0.0008020921410460212,0.0008145962840128056
0.308,0.000671775521418793,0.0008018003989959688,0.0008143177545394003
0.3082,0.0006714988739220072,0.0008015089186339997,0.000814039427619243
0.3084,0.0006712225108062724,0.0008012176995909694,0.0008137613030840428
0.3086,0.0006709464316046052,0.0008009267414984334,0.0008134833807654873
0.3088,0.000670670635851075,0.0008006360439886452,0.0008132056604952427
0.309,0.000670395123080801,0.0008003456066945552,0.0008129281421049565
0.3092,0.0006701198928299485,0.0008000554292498086,0.0008126508254262571
0.3094,0.0006698449446357271,0.0007997655112887444,0.0008123737102907558
0.3096,0.0006695702780363864,0.0007994758524463935,0.0008120967965300486
0.3098,0.0006692958925712141,0.0007991864523584768,0.0008118200839757165
0.31,0.0006690217877805328,0.0007988973106614042,0.0008115435724593267
0.3102,0.0006687479632056962,0.000798608426992272,0.0008112672618124335
0.3104,0.0006684744183890871,0.000798319800988863,0.0008109911518665812
0.3106,0.0006682011528741148,0.0007980314322896428,0.0008107152424533034
0.3108,0.0006679281662052109,0.0007977433205337595,0.0008104395334041244
0.311,0.0006676554579278267,0.0007974554653610423,0.0008101640245505611
0.3112,0.0006673830275884321,0.0007971678664119991,0.0008098887157241234
0.3114,0.0006671108747345094,0.000796880523327815,0.0008096136067563162
0.3116,0.0006668389989145539,0.0007965934357503518,0.0008093386974786393
0.3118,0.0006665673996780685,0.0007963066033221445,0.0008090639877225896
0.312,0.000666296076575562,0.0007960200256864022,0.0008087894773196617
0.3122,0.0006660250291585461,0.0007957337024870046,0.000808515166101349
0.3124,0.000665754256979532,0.0007954476333685002,0.0008082410538991446
0.3126,0.0006654837595920288,0.0007951618179761068,0.0008079671405445434
0.3128,0.000665213536550539,0.0007948762559557085,0.0008076934258690414
0.313,0.0006649435874105575,0.0007945909469538541,0.0008074199097041381
0.3132,0.0006646739117285668,0.0007943058906177554,0.0008071465918813378
0.3134,0.0006644045090620365,0.0007940210865952869,0.0008068734722321494
0.3136,0.0006641353789694185,0.0007937365345349837,0.0008066005505880882
0.3138,0.000663866521010145,0.0007934522340860383,0.0008063278267806766
0.314,0.0006635979347446262,0.0007931681848983024,0.0008060553006414467
0.3142,0.000663329619734247,0.0007928843866222818,0.000805782972001938
0.3144,0.0006630615755413641,0.0007926008389091378,0.0008055108406937021
0.3146,0.0006627938017293037,0.0007923175414106835,0.0008052389065483012
0.3148,0.0006625262978623581,0.000792034493779384,0.0008049671693973097
0.315,0.0006622590635057849,0.000791751695668354,0.0008046956290723159
0.3152,0.0006619920982258013,0.0007914691467313556,0.0008044242854049224
0.3154,0.0006617254015895835,0.0007911868466227992,0.0008041531382267476
0.3156,0.0006614589731652638,0.000790904794997739,0.0008038821873694251
0.3158,0.0006611928125219274,0.0007906229915118735,0.000803611432664607
0.316,0.0006609269192296094,0.0007903414358215443,0.0008033408739439627
0.3162,0.0006606612928592937,0.0007900601275837321,0.0008030705110391818
0.3164,0.0006603959329829081,0.0007897790664560577,0.0008028003437819733
0.3166,0.0006601308391733239,0.0007894982520967806,0.0008025303720040678
0.3168,0.0006598660110043519,0.0007892176841647955,0.0008022605955372177
0.317,0.0006596014480507395,0.0007889373623196323,0.0008019910142131987
0.3172,0.0006593371498881696,0.0007886572862214546,0.0008017216278638101
0.3174,0.0006590731160932565,0.0007883774555310583,0.0008014524363208758
0.3176,0.0006588093462435439,0.0007880978699098685,0.0008011834394162461
0.3178,0.0006585458399175019,0.0007878185290199405,0.0008009146369817978
