f,Suu,Svv,Sww
0.0,0.0,0.0,0.0
0.0002,0.00021224604110727633,1.609055428857928e-05,5.147644728840145e-06
0.0004,0.00013497781678215853,1.1120642883272649e-05,1.0095460629874122e-05
0.0006,0.0011999220901777494,5.17064391788675e-05,2.195528612481569e-05
0.0008,0.0006202555593591443,5.510326989325543e-05,2.059417908213686e-05
0.001,0.00048404406635015713,3.1401492181073214e-05,2.664367685489832e-05
0.0012,0.0012111836205317456,0.00010087086429398117,2.8446249167355987e-05
0.0014,0.001124445613431599,0.00010686206174215216,2.1975016009856464e-05
0.0016,0.0025683153207215243,0.00022365922347473993,7.555195058148363e-05
0.0018,0.002010271191844474,0.0001303737111186195,3.9619287480574354e-05
0.002,0.001098128798627878,7.600005759467953e-05,4.53717333988875e-05
0.0022,0.0007470981109451328,0.00011827135159590516,4.8428632173147494e-05
0.0024,0.0013546576253706004,0.00012536881122798813,8.806863694017366e-05
0.0026,0.0014284579024231544,0.00012385447722318633,5.7904969076793177e-05
0.0028,0.0013433308815477113,0.0002934004451532821,8.434112116173509e-05
0.003,0.0018203612759559813,0.00021540234209124667,9.81055691121112e-05
0.0032,0.001313459560384009,0.00017404223098198174,7.22639705379984e-05
0.0034,0.0011995813223550844,0.00022528843591026763,7.328086946404967e-05
0.0036,0.0017660098094175738,0.0003628555421674366,8.6959184799474e-05
0.0038,0.0017513428587723296,0.0002513384360259941,0.00014220358013049584
0.004,0.002245767256551582,0.00043431429506969377,0.0001021023633261599
0.0042,0.002033807388385485,0.00034571449203606646,0.00016054145866546823
0.0044,0.0012230129500929916,0.00012102275427461825,0.0001342611020006195
0.0046,0.001219030184274307,0.0004203059917208961,0.00011014337470945257
0.0048,0.0015863131565130946,0.00028291238891389053,0.00013437832312771886
0.005,0.0015661618867010303,0.0003503955395920015,0.00012054341967627422
0.0052,0.0012339337930408957,0.0003277402936495374,6.83893929806055e-05
0.0054,0.002332231280006775,0.0003850118715607991,9.63811615778748e-05
0.0056,0.0013671728154898922,0.00037583489973114123,0.00012007232447891203
0.0058,0.0009008231940312006,0.00042069122971915277,9.555511733576498e-05
0.006,0.001164368949693308,0.0006577115351630521,0.00010542446567828585
0.0062,0.0020161626371511462,0.0005064741135043587,0.00017310284643877664
0.0064,0.0011036194140225286,0.0005715912600308975,0.0002039179847070356
0.0066,0.0017117838352558369,0.0005575938674757382,0.0001549561850588256
0.0068,0.001194296184815851,0.00043513673426556564,0.00016546275783139633
0.007,0.0009986408095526277,0.00047988963786104317,0.00015851015404206513
0.0072,0.0016495961663146143,0.0005322321724865038,0.0001838594483282173
0.0074,0.0020180546232062657,0.00037827234589807513,0.0001751984885828023
0.0076,0.0012898774346803415,0.0005750591508575261,0.00021236831935349322
0.0078,0.002116851171073501,0.00025217486951395506,0.0001976087807580909
0.008,0.0009768916561010766,0.000586607212629153,0.00014874688211045158
0.0082,0.002131544507611083,0.0009350939350286684,0.0002718055762335809
0.0084,0.0013368797900536508,0.000649794251694063,0.00021454170080170983
0.0086,0.0018882526462516034,0.00046074839562391864,0.0001966597445381953
0.0088,0.0016292359122246061,0.00033203147122402887,0.00013534222142491906
0.009,0.0014802663702057962,0.0004685649193425378,0.00016347972064515237
0.0092,0.002028233617594247,0.000415576582742437,0.00023336804405891187
0.0094,0.0018686099118821143,0.0005697736469160043,0.00014569198981779079
0.0096,0.0032640151611647693,0.0004886506183341965,0.00019484166809249348
0.0098,0.0021296258774571057,0.0008406025896906682,0.0002296786102772973
0.01,0.0011967048144933665,0.00025038027187204427,0.0001486678893090697
0.0102,0.0016847859206115387,0.00046045234081142647,0.00016177085983079873
