# 'z','WS','WD','Th','TKE','TI'
1.2000 1.1995 262.5619 304.9639 0.0506 0.2240
3.7000 1.9736 262.8121 304.9639 0.1510 0.2489
6.2000 2.6390 263.0188 304.9639 0.2633 0.2497
8.7000 3.2122 263.1795 304.9639 0.3636 0.2420
11.2000 3.6945 263.3113 304.9639 0.4383 0.2301
13.7000 4.0916 263.4347 304.9639 0.4861 0.2166
16.2000 4.4129 263.5561 304.9638 0.5116 0.2032
18.7000 4.6702 263.6661 304.9638 0.5199 0.1907
21.2000 4.8752 263.7681 304.9638 0.5157 0.1791
23.7000 5.0383 263.8755 304.9638 0.5036 0.1686
26.2000 5.1672 263.9875 304.9638 0.4871 0.1593
28.7000 5.2686 264.1026 304.9638 0.4688 0.1511
31.2000 5.3494 264.2132 304.9638 0.4512 0.1440
33.7000 5.4163 264.3106 304.9638 0.4363 0.1379
36.2000 5.4745 264.4013 304.9638 0.4256 0.1327
38.7000 5.5275 264.4939 304.9638 0.4177 0.1282
41.2000 5.5777 264.5794 304.9638 0.4107 0.1240
43.7000 5.6253 264.6505 304.9637 0.4044 0.1202
46.2000 5.6705 264.7172 304.9637 0.3980 0.1167
48.7000 5.7145 264.7766 304.9637 0.3902 0.1134
51.2000 5.7571 264.8235 304.9637 0.3822 0.1105
53.7000 5.7976 264.8671 304.9637 0.3743 0.1079
56.2000 5.8345 264.9116 304.9637 0.3663 0.1055
58.7000 5.8706 264.9573 304.9637 0.3570 0.1027
61.2000 5.9076 264.9987 304.9637 0.3470 0.0999
63.7000 5.9451 265.0380 304.9637 0.3369 0.0973
66.2000 5.9825 265.0795 304.9637 0.3266 0.0948
68.7000 6.0187 265.1232 304.9636 0.3162 0.0924
71.2000 6.0537 265.1697 304.9636 0.3056 0.0900
73.7000 6.0880 265.2209 304.9636 0.2958 0.0877
76.2000 6.1212 265.2728 304.9636 0.2872 0.0854
78.7000 6.1520 265.3214 304.9636 0.2799 0.0836
81.2000 6.1806 265.3687 304.9636 0.2733 0.0819
83.7000 6.2079 265.4183 304.9636 0.2665 0.0803
86.2000 6.2329 265.4708 304.9636 0.2604 0.0789
88.7000 6.2545 265.5205 304.9636 0.2556 0.0778
91.2000 6.2741 265.5652 304.9636 0.2515 0.0768
93.7000 6.2928 265.6055 304.9636 0.2473 0.0757
96.2000 6.3108 265.6408 304.9635 0.2429 0.0745
98.7000 6.3280 265.6718 304.9635 0.2392 0.0734
101.2000 6.3448 265.7041 304.9635 0.2361 0.0726
103.7000 6.3616 265.7358 304.9635 0.2330 0.0718
106.2000 6.3786 265.7669 304.9635 0.2300 0.0711
108.7000 6.3954 265.8001 304.9635 0.2267 0.0705
111.2000 6.4123 265.8403 304.9635 0.2229 0.0699
113.7000 6.4294 265.8915 304.9635 0.2189 0.0692
116.2000 6.4473 265.9497 304.9635 0.2150 0.0686
118.7000 6.4650 266.0069 304.9635 0.2114 0.0679
121.2000 6.4819 266.0572 304.9635 0.2077 0.0672
123.7000 6.4979 266.1043 304.9635 0.2043 0.0664
126.2000 6.5132 266.1478 304.9635 0.2012 0.0658
128.7000 6.5279 266.1920 304.9635 0.1986 0.0652
131.2000 6.5417 266.2400 304.9635 0.1962 0.0646
133.7000 6.5550 266.2891 304.9635 0.1940 0.0640
136.2000 6.5683 266.3384 304.9635 0.1919 0.0634
138.7000 6.5818 266.3850 304.9635 0.1900 0.0628
141.2000 6.5951 266.4276 304.9635 0.1883 0.0621
