# X/D Delta/A Theta/A H
-1.000000000000000000e+01 1.016699290734279434e-02 1.016129529925949120e-02 1.000560716711354603e+00
-8.000000000000000000e+00 2.232941201332883790e-02 2.229697343845044727e-02 1.001454842064907869e+00
-6.000000000000000000e+00 4.506196359154240882e-02 4.491953371511802490e-02 1.003170778159178544e+00
-4.000000000000000000e+00 9.465620382231794416e-02 9.345085288167861992e-02 1.012898233707566709e+00
-2.000000000000000000e+00 1.891951183804315706e-01 1.841940328853683417e-01 1.027151180832093669e+00
0.000000000000000000e+00 3.285029274136795907e-01 1.536890774291765904e-01 2.137451358994988837e+00
2.000000000000000000e+00 5.472453066100730901e-01 2.114017592126796186e-01 2.588650674659333628e+00
4.000000000000000000e+00 5.852984664325614483e-01 4.184664108807431560e-01 1.398674902486648941e+00
6.000000000000000000e+00 5.678026079134472770e-01 4.467677178161790774e-01 1.270912344985202225e+00
8.000000000000000000e+00 5.359186691519497447e-01 4.359433379757444715e-01 1.229331021871855834e+00
1.000000000000000000e+01 5.045829289941935469e-01 4.200268608842914753e-01 1.201311096942429657e+00
1.200000000000000000e+01 4.790955229260596693e-01 4.105677702350388758e-01 1.166909722728090681e+00
1.400000000000000000e+01 4.493913035974789749e-01 3.947482992320592854e-01 1.138424926647491064e+00
1.600000000000000000e+01 4.084720719067873040e-01 3.680387249226474977e-01 1.109861664673025494e+00
1.800000000000000000e+01 3.600390072173276224e-01 3.296037558986298910e-01 1.092338909293430804e+00
2.000000000000000000e+01 3.191258349002187300e-01 2.949430767776562434e-01 1.081991272305037999e+00
