# Y/D TKEres TKEsgs TKEtot
-2.950000000000000622e+00 1.976311365699011391e-01 7.420187466989396768e-03 2.050513240368905254e-01
-2.900000000000001243e+00 2.043493373663341495e-01 7.575278832759355790e-03 2.119246161990935018e-01
-2.849999999999998757e+00 2.009455653973093170e-01 7.840849141794076910e-03 2.087864145391034043e-01
-2.799999999999999378e+00 1.948442166685858956e-01 8.154655408504702524e-03 2.029988720770906085e-01
-2.750000000000000000e+00 1.922789411742875099e-01 8.362865438966556389e-03 2.006418066132540645e-01
-2.700000000000000622e+00 1.946571575989289871e-01 8.260696913838743924e-03 2.029178545127677258e-01
-2.650000000000001243e+00 1.983970013721506054e-01 7.980834846432973209e-03 2.063778362185835769e-01
-2.599999999999998757e+00 1.965068690622974179e-01 7.713228547609527093e-03 2.042200976099069476e-01
-2.549999999999999378e+00 1.938153297720656976e-01 7.426733241632432411e-03 2.012420630136981248e-01
-2.500000000000000000e+00 1.932405640466310914e-01 7.333581764501275260e-03 2.005741458111323650e-01
-2.450000000000000622e+00 1.953281613172697384e-01 7.269127126843410135e-03 2.025972884441131494e-01
-2.400000000000001243e+00 2.017639542117547480e-01 7.282776526576659366e-03 2.090467307383314099e-01
-2.349999999999998757e+00 2.119558472242905056e-01 7.565508657942701491e-03 2.195213558822332045e-01
-2.299999999999999378e+00 2.267238495773376272e-01 7.890087824163314473e-03 2.346139374015009382e-01
-2.250000000000000000e+00 2.346973268133047963e-01 8.036422564324690807e-03 2.427337493776294819e-01
-2.200000000000000622e+00 2.332737586177397737e-01 7.771014406665704283e-03 2.410447730244054676e-01
-2.150000000000001243e+00 2.244412858801601574e-01 7.210053104343611130e-03 2.316513389845037685e-01
-2.099999999999998757e+00 2.100204000344531863e-01 6.752330874313454065e-03 2.167727309087666421e-01
-2.049999999999999378e+00 1.946449166624938942e-01 6.258333344294390345e-03 2.009032500067882976e-01
-2.000000000000000000e+00 1.778307104541088646e-01 5.653196886467187939e-03 1.834839073405760412e-01
-1.950000000000000622e+00 1.701181877856757507e-01 5.280888264842441455e-03 1.753990760505181878e-01
-1.900000000000001465e+00 1.704674458036080364e-01 5.103733315424401930e-03 1.755711791190324444e-01
-1.849999999999998535e+00 1.654301773095418482e-01 4.834427005495710306e-03 1.702646043150375654e-01
-1.799999999999999378e+00 1.587391477446627452e-01 4.457175463245473084e-03 1.631963232079082227e-01
-1.750000000000000000e+00 1.596521325537873237e-01 4.430342650721262772e-03 1.640824752045085821e-01
-1.700000000000000622e+00 1.666488339189731716e-01 4.846241976816904537e-03 1.714950758957900778e-01
-1.650000000000001465e+00 1.734764351185081599e-01 5.115680301787568079e-03 1.785921154202957384e-01
-1.599999999999998535e+00 1.791073359096091999e-01 5.178878780527426152e-03 1.842862146901366183e-01
-1.549999999999999378e+00 1.839490723385656390e-01 5.173952093736029247e-03 1.891230244323016674e-01
-1.500000000000000000e+00 1.924607852825624410e-01 5.272669241728542358e-03 1.977334545242909747e-01
-1.450000000000000622e+00 2.014292556059311678e-01 5.399468390528967821e-03 2.068287239964601287e-01
-1.400000000000001465e+00 2.077079127725026120e-01 5.606452368574369426e-03 2.133143651410769892e-01
-1.349999999999998535e+00 2.133303676650308289e-01 5.858289829997372945e-03 2.191886574950281941e-01
-1.299999999999999378e+00 2.198684076391886066e-01 6.100880895315488779e-03 2.259692885345040980e-01
-1.250000000000000000e+00 2.288242662284491191e-01 6.379795425089518010e-03 2.352040616535386319e-01
-1.200000000000000622e+00 2.455872481278915109e-01 6.799168836228557285e-03 2.523864169641200639e-01
-1.150000000000001465e+00 2.619403075719659024e-01 7.474372635182951335e-03 2.694146802071488711e-01
-1.099999999999998535e+00 2.831956564584884317e-01 7.817063277140183161e-03 2.910127197356285889e-01
