# Y/D TKEres TKEsgs TKEtot
2.999999999999992673e-01 3.377340700046396194e-01 1.506532929378597181e-02 3.527993992984255756e-01
3.499999999999985900e-01 3.304608394497609569e-01 1.571882333375717450e-02 3.461796627835181384e-01
4.000000000000014100e-01 3.105540304844179311e-01 1.529625051052408216e-02 3.258502809949420098e-01
4.500000000000007327e-01 3.035750662449369641e-01 1.468247648081011554e-02 3.182575427257470779e-01
5.000000000000000000e-01 3.085470083330891233e-01 1.488235249925116271e-02 3.234293608323403069e-01
5.499999999999992673e-01 3.285452324314966921e-01 1.543223518227436301e-02 3.439774676137710707e-01
5.999999999999985345e-01 3.558987753126804932e-01 1.601745865169503652e-02 3.719162339643755089e-01
6.500000000000014655e-01 3.862525373795734907e-01 1.619342448198191758e-02 4.024459618615554013e-01
7.000000000000007327e-01 4.104172296011495691e-01 1.608350799023046743e-02 4.265007375913800192e-01
7.500000000000000000e-01 4.188539200834723308e-01 1.624462634071773340e-02 4.350985464241900469e-01
7.999999999999992673e-01 4.132414789308495040e-01 1.643033991896097196e-02 4.296718188498104829e-01
8.499999999999985345e-01 3.878605348957661070e-01 1.625707817400659852e-02 4.041176130697727298e-01
9.000000000000014655e-01 3.569349442923899773e-01 1.690136413615078020e-02 3.738363084285407645e-01
9.500000000000007327e-01 3.477939855800218361e-01 1.763910827563480027e-02 3.654330938556566433e-01
1.000000000000000000e+00 3.439279226776696952e-01 1.773500419173879017e-02 3.616629268694084853e-01
1.049999999999999378e+00 3.351242593041576789e-01 1.778872545045781517e-02 3.529129847546155219e-01
1.099999999999998535e+00 2.988012098747289125e-01 1.833025410457242432e-02 3.171314639793013646e-01
1.150000000000001465e+00 2.772408410010815394e-01 1.861093152435277023e-02 2.958517725254343200e-01
1.200000000000000622e+00 2.835692492820355848e-01 1.741798267580155907e-02 3.009872319578371647e-01
1.250000000000000000e+00 2.907746968454311132e-01 1.668676945241915829e-02 3.074614662978502611e-01
1.299999999999999378e+00 3.116961661217315105e-01 1.613736762101242173e-02 3.278335337427439322e-01
1.349999999999998535e+00 3.415079370572696726e-01 1.567745001973264857e-02 3.571853870770023143e-01
1.400000000000001465e+00 3.486932689420492171e-01 1.568105574604350058e-02 3.643743246880927211e-01
1.450000000000000622e+00 3.541446993956119949e-01 1.553329656617010238e-02 3.696779959617820799e-01
1.500000000000000000e+00 3.563679036504248110e-01 1.543534657078021732e-02 3.718032502212050283e-01
1.549999999999999378e+00 3.349044572199761927e-01 1.614234118910348389e-02 3.510467984090796523e-01
1.599999999999998535e+00 3.135573892265789420e-01 1.614947832538136951e-02 3.297068675519603254e-01
1.650000000000001465e+00 3.090395935785739678e-01 1.573642469520244308e-02 3.247760182737763901e-01
1.700000000000000622e+00 3.021062965551299384e-01 1.558803218800586948e-02 3.176943287431358010e-01
1.750000000000000000e+00 2.983935116785190189e-01 1.490475239669428013e-02 3.132982640752132730e-01
1.799999999999999378e+00 2.942948248769443054e-01 1.411948752234736502e-02 3.084143123992916791e-01
1.849999999999998535e+00 2.884038978972818246e-01 1.330326754826560536e-02 3.017071654455474317e-01
1.900000000000001465e+00 2.878331854537038437e-01 1.335202029095142878e-02 3.011852057446552933e-01
1.950000000000000622e+00 2.957526842938271172e-01 1.338975664793472589e-02 3.091424409417618535e-01
2.000000000000000000e+00 2.855057138041274256e-01 1.362647104484726937e-02 2.991321848489746915e-01
2.049999999999999378e+00 2.732079789792272173e-01 1.388969796351735737e-02 2.870976769427445729e-01
2.099999999999998757e+00 2.723959928657812002e-01 1.324143059323508974e-02 2.856374234590162708e-01
2.150000000000001243e+00 2.743042994539015567e-01 1.300039753295353755e-02 2.873046969868550682e-01
2.200000000000000622e+00 2.561779613362820118e-01 1.369152093097304040e-02 2.698694822672550453e-01
2.250000000000000000e+00 2.441959633308124489e-01 1.334026686770598859e-02 2.575362301985184565e-01
2.299999999999999378e+00 2.346118629678819456e-01 1.275952313174158990e-02 2.473713860996235303e-01
2.349999999999998757e+00 2.212724036460584076e-01 1.215487002446458652e-02 2.334272736705229889e-01
2.400000000000001243e+00 2.319405726596588668e-01 1.162783920449422977e-02 2.435684118641530949e-01
2.450000000000000622e+00 2.514146351091697262e-01 1.166204145160322156e-02 2.630766765607729374e-01
2.500000000000000000e+00 2.639904110140532389e-01 1.151664564593609698e-02 2.755070566599893134e-01
2.549999999999999378e+00 2.496850473168112927e-01 1.164639303974172695e-02 2.613314403565530353e-01
2.599999999999998757e+00 2.508913180088648831e-01 1.191480019112726649e-02 2.628061181999921669e-01
2.649999999999997691e+00 2.575497162998149903e-01 1.163757241776054545e-02 2.691872887175755236e-01
2.700000000000000622e+00 2.614649305057133999e-01 1.147477904046324132e-02 2.729397095461766343e-01
2.750000000000000000e+00 2.586491920253196630e-01 1.185783490757117385e-02 2.705070269328908594e-01
2.799999999999999378e+00 2.374680414965660014e-01 1.216565974787915498e-02 2.496337012444451442e-01
2.849999999999998757e+00 2.193817547889218011e-01 1.198470058868205887e-02 2.313664553776038635e-01
2.899999999999997691e+00 2.154490821400563139e-01 1.185718589312982109e-02 2.273062680331861263e-01
2.950000000000000622e+00 2.217289577625044250e-01 1.198398834393118485e-02 2.337129461064356151e-01
3.000000000000000000e+00 2.247784412938585163e-01 1.204294364641755530e-02 2.368213849402760751e-01
3.049999999999999378e+00 2.254451379492907193e-01 1.216062706529540821e-02 2.376057650145861344e-01
3.099999999999998757e+00 2.144055097438988533e-01 1.202579452774925339e-02 2.264313042716480928e-01
3.149999999999997691e+00 2.023955908479518062e-01 1.122913378295946688e-02 2.136247246309112835e-01
3.200000000000000622e+00 1.920192443569575524e-01 1.050685091539352647e-02 2.025260952723510754e-01
3.250000000000000000e+00 1.874289799433269399e-01 1.021061872680138066e-02 1.976395986701283136e-01
3.299999999999999378e+00 1.849360029152902485e-01 9.878406461325419871e-03 1.948144093766156770e-01
3.349999999999998757e+00 1.815910811155541649e-01 9.621862546919679807e-03 1.912129436624738499e-01
3.399999999999997691e+00 1.742216438620562691e-01 9.527794313315129937e-03 1.837494381753713990e-01
3.450000000000000622e+00 1.720142294819049789e-01 9.345209096377194574e-03 1.813594385782821838e-01
3.500000000000000000e+00 1.713059111897140274e-01 9.077194380442243915e-03 1.803831055701562713e-01
3.549999999999999378e+00 1.706184277167033803e-01 8.781926926458552898e-03 1.794003546431619245e-01
3.599999999999998757e+00 1.691141424083191236e-01 8.820737193840060691e-03 1.779348796021591739e-01
3.649999999999997691e+00 1.611746265711259396e-01 8.996568928064245171e-03 1.701711954991901865e-01
3.700000000000000622e+00 1.596456966898215646e-01 9.192159668808895512e-03 1.688378563586304670e-01
3.750000000000000000e+00 1.716718495616066376e-01 9.275627426337806902e-03 1.809474769879444445e-01
3.799999999999999378e+00 1.818880162876684581e-01 9.516865180994059370e-03 1.914048814686625244e-01
3.849999999999998757e+00 1.848840034713504221e-01 9.560667478702456271e-03 1.944446709500528836e-01
3.899999999999997691e+00 1.889251376308133112e-01 9.597295975821819661e-03 1.985224336066351292e-01
3.950000000000000622e+00 1.968030303353670574e-01 9.823272917736814575e-03 2.066263032531038824e-01
4.000000000000000000e+00 2.018554778958483731e-01 1.012413242568993219e-02 2.119796103215383087e-01
