# Y/D TKE
-4.0000 0.3244
-3.9213 0.3348
-3.8425 0.3307
-3.7638 0.3495
-3.6850 0.3803
-3.6063 0.3871
-3.5276 0.3596
-3.4488 0.3166
-3.3701 0.2805
-3.2913 0.2649
-3.2126 0.2625
-3.1339 0.2675
-3.0551 0.2825
-2.9764 0.2892
-2.8976 0.2980
-2.8189 0.3084
-2.7402 0.3098
-2.6614 0.3080
-2.5827 0.2828
-2.5039 0.2495
-2.4252 0.2244
-2.3465 0.2103
-2.2677 0.1941
-2.1890 0.1880
-2.1102 0.1804
-2.0315 0.1722
-1.9528 0.1784
-1.8740 0.1820
-1.7953 0.1736
-1.7165 0.1628
-1.6378 0.1626
-1.5591 0.1662
-1.4803 0.1721
-1.4016 0.1831
-1.3228 0.1894
-1.2441 0.1997
-1.1654 0.2340
-1.0866 0.2686
-1.0079 0.3023
-0.9291 0.3045
-0.8504 0.2896
-0.7717 0.2568
-0.6929 0.2160
-0.6142 0.1924
-0.5354 0.1770
-0.4567 0.1586
-0.3780 0.1440
-0.2992 0.1390
-0.2205 0.1374
-0.1417 0.1344
-0.0630 0.1364
0.0157 0.1388
0.0945 0.1417
0.1732 0.1501
0.2520 0.1619
0.3307 0.1784
0.4094 0.1993
0.4882 0.2060
0.5669 0.2076
0.6457 0.2222
0.7244 0.2575
0.8031 0.2730
0.8819 0.2677
0.9606 0.2533
1.0394 0.2307
1.1181 0.2020
1.1969 0.1623
1.2756 0.1225
1.3543 0.0987
1.4331 0.0971
1.5118 0.1030
1.5906 0.1094
1.6693 0.1158
1.7480 0.1201
1.8268 0.1265
1.9055 0.1418
1.9843 0.1620
2.0630 0.1844
2.1417 0.1949
2.2205 0.1946
2.2992 0.2021
2.3780 0.2224
2.4567 0.2463
2.5354 0.2540
2.6142 0.2522
2.6929 0.2371
2.7717 0.2158
2.8504 0.2111
2.9291 0.2296
3.0079 0.2517
3.0866 0.2677
3.1654 0.2781
3.2441 0.2919
3.3228 0.2947
3.4016 0.2830
3.4803 0.2764
3.5591 0.2886
3.6378 0.2869
3.7165 0.2726
3.7953 0.2562
3.8740 0.2237
3.9528 0.1910
