#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
 0.0, 3.7141319916928417, 3.6436152277079095, 0.07051676398493223, -32
10.0, 5.543677682143339, 5.5218992587598335, 0.02177842338350544, -32
20.0, 6.707965132667027, 6.702734894922793, 0.005230237744234145, -32
30.0, 7.370485694005817, 7.369503046367837, 0.0009826476379801719, -32
40.0, 7.926322641005081, 7.926138706907603, 0.00018393409747829992, -32
50.0, 8.436091615359254, 8.435740677601418, 0.00035093775783678893, -32
60.0, 8.881784855582389, 8.881899299268714, -0.00011444368632496094, -32
70.0, 9.308120045400837, 9.30821384144349, -9.379604265191688e-05, -32
80.0, 9.684862838203179, 9.685406063020116, -0.0005432248169370268, -32
90.0, 10.053483617279058, 10.053807888542316, -0.0003242712632580691, -32
100.0, 10.38363087304419, 10.38429662222754, -0.0006657491833497176, -32
110.0, 10.709035988077249, 10.709589466339672, -0.000553478262423468, -32
120.0, 11.013174595052062, 11.013998460361613, -0.0008238653095506976, -32
130.0, 11.310935536159786, 11.311601680764559, -0.0006661446047733222, -32
140.0, 11.593233407586508, 11.594072555228486, -0.0008391476419777888, -32
150.0, 11.871499426494893, 11.872256794725718, -0.0007573682308255059, -32
160.0, 12.136854643581612, 12.137730150027979, -0.0008755064463663587, -32
170.0, 12.396216141472145, 12.397049099712728, -0.0008329582405828262, -32
180.0, 12.64239199846455, 12.643351812679311, -0.0009598142147613231, -32
190.0, 12.881065582469292, 12.881978835848706, -0.0009132533794140585, -32
200.0, 13.111850060354755, 13.11285254317913, -0.001002482824375761, -32
210.0, 13.333724786200303, 13.334667076289437, -0.0009422900891333796, -32
220.0, 13.5496102561526, 13.550635485695375, -0.0010252295427743974, -32
230.0, 13.758506443500751, 13.759465112744532, -0.000958669243781074, -32
240.0, 13.97496144172087, 13.976000872888154, -0.0010394311672836665, -32
250.0, 14.172577183323046, 14.17360215201498, -0.0010249686919348022, -32
260.0, 14.373947995523181, 14.375024001168626, -0.0010760056454444111, -32
270.0, 14.556862562236239, 14.557927474851216, -0.0010649126149768762, -32
280.0, 14.735449634096948, 14.736554970042212, -0.0011053359452635192, -32
290.0, 14.908942771008046, 14.910034707031809, -0.00109193602376223, -32
300.0, 15.075189674355677, 15.076328055398248, -0.0011383810425709129, -32
310.0, 15.235863579910458, 15.236985885577601, -0.0011223056671436638, -32
320.0, 15.394090330418562, 15.395234561815776, -0.0011442313972143126, -32
330.0, 15.545966420204014, 15.547108155853648, -0.0011417356496341569, -32
340.0, 15.693964773120792, 15.695139487139663, -0.00117471401887137, -32
350.0, 15.836991661327843, 15.83815424659892, -0.0011625852710768214, -32
360.0, 15.980841937408131, 15.982046135715537, -0.0012041983074055906, -32
370.0, 16.114321929172842, 16.11550464248038, -0.0011827133075392737, -32
380.0, 16.248903300623574, 16.250082966111318, -0.0011796654877436197, -32
390.0, 16.3770429889979, 16.37823062346321, -0.0011876344653103388, -32
400.0, 16.502938029115498, 16.50415383463217, -0.0012158055166722193, -32
410.0, 16.624017110096435, 16.62523059419885, -0.0012134841024149523, -32
420.0, 16.74238855125572, 16.74360154091313, -0.0012129896574109011, -32
430.0, 16.855466154713405, 16.856688670489067, -0.0012225157756624583, -32
440.0, 16.96599717746041, 16.967250462976807, -0.0012532855163982504, -32
450.0, 17.069159613576954, 17.070403309416044, -0.0012436958390900088, -32
460.0, 17.171565530702313, 17.172811556269817, -0.0012460255675037502, -32
470.0, 17.265990002158972, 17.267245599648426, -0.001255597489453919, -32
480.0, 17.358589398856115, 17.359849179680335, -0.0012597808242205133, -32
490.0, 17.446817018628735, 17.448075954519073, -0.0012589358903376535, -32
500.0, 17.524788817772382, 17.52607316612437, -0.001284348351987319, -32
0.0, 2.8244780673552183, 2.76294339236292, 0.06153467499229848, -20
10.0, 5.915205001625903, 5.872348631546748, 0.042856370079155326, -20
20.0, 6.855934936500469, 6.825008283439995, 0.030926653060473264, -20
30.0, 7.472037330901877, 7.451099213647979, 0.02093811725389827, -20
40.0, 7.980355740249941, 7.962295752057165, 0.018059988192775656, -20
50.0, 8.437536033893226, 8.424631472765439, 0.012904561127786707, -20
60.0, 8.864538204003573, 8.85476242950759, 0.009775774495983214, -20
70.0, 9.269351368622445, 9.260517550491215, 0.00883381813122952, -20
80.0, 9.652163063991274, 9.642533200586499, 0.009629863404775563, -20
90.0, 10.018595232009146, 10.007690253941622, 0.010904978067523885, -20
100.0, 10.36393325321069, 10.35427889805976, 0.009654355150928495, -20
110.0, 10.692797145777693, 10.684587870139408, 0.008209275638284552, -20
120.0, 11.005189114679242, 10.996955968790289, 0.008233145888953075, -20
130.0, 11.30076019986052, 11.293101125343414, 0.0076590745171056795, -20
140.0, 11.586486720012363, 11.57885355314385, 0.0076331668685138965, -20
150.0, 11.86011506725576, 11.852717197772858, 0.007397869482902664, -20
160.0, 12.128693451592554, 12.121655759742543, 0.0070376918500105745, -20
170.0, 12.386685715293579, 12.379972230838273, 0.006713484455305618, -20
180.0, 12.637387196656487, 12.630946656962928, 0.006440539693558733, -20
190.0, 12.878057633120843, 12.871849397783103, 0.006208235337739509, -20
200.0, 13.115062832145727, 13.109230281040848, 0.0058325511048789025, -20
210.0, 13.341448033337828, 13.33592480272501, 0.005523230612817898, -20
220.0, 13.559758081504128, 13.55450787828229, 0.005250203221837779, -20
230.0, 13.773336178100495, 13.768444813456867, 0.004891364643627938, -20
240.0, 13.950030945122972, 13.945583843720557, 0.004447101402414333, -20
250.0, 14.189939661666612, 14.185506510138598, 0.004433151528013823, -20
260.0, 14.36681962287542, 14.362790692777454, 0.004028930097966565, -20
270.0, 14.549411892540618, 14.545626863959356, 0.003785028581262395, -20
280.0, 14.723885499636992, 14.720316490765699, 0.003569008871293633, -20
290.0, 14.89583935584828, 14.892483187388375, 0.003356168459903941, -20
300.0, 15.066105422309775, 15.0630591830073, 0.003046239302474163, -20
310.0, 15.225356659395825, 15.222608629192756, 0.0027480302030689074, -20
320.0, 15.385019506196029, 15.382452514645431, 0.002566991550597919, -20
330.0, 15.5375488286326, 15.535203106026506, 0.002345722606094114, -20
340.0, 15.689116638259067, 15.687014109426844, 0.0021025288322231717, -20
350.0, 15.831758877009904, 15.829890229752204, 0.0018686472576998625, -20
360.0, 15.976373807222522, 15.974781323075959, 0.0015924841465633222, -20
370.0, 16.108953073796577, 16.107619735454097, 0.0013333383424800616, -20
380.0, 16.243433224485262, 16.24224781155685, 0.0011854129284110115, -20
390.0, 16.3704310436208, 16.36944823880119, 0.0009828048196105499, -20
400.0, 16.497776793462673, 16.497016192577377, 0.000760600885296725, -20
410.0, 16.616846826558593, 16.616306398419997, 0.0005404281385956722, -20
420.0, 16.736732261790536, 16.736405347281153, 0.00032691450938315825, -20
430.0, 16.848937686502467, 16.848848944525738, 8.874197672881223e-05, -20
440.0, 16.96035064613961, 16.960476679796365, -0.0001260336567554532, -20
450.0, 17.063962207585767, 17.06430807161691, -0.0003458640311428951, -20
460.0, 17.167955612061345, 17.1685113677134, -0.0005557556520550122, -20
470.0, 17.26165978327006, 17.26243918794928, -0.0007794046792213294, -20
480.0, 17.353806948736107, 17.354775188970958, -0.0009682402348509811, -20
490.0, 17.44153305249421, 17.442717878631207, -0.0011848261369955537, -20
500.0, 17.520755471464714, 17.522356595868843, -0.0016011244041287398, -20
0.0, 2.3953640919510146, 2.352885454463633, 0.042478637487381565, 0
10.0, 5.78678980518579, 5.714109413422526, 0.07268039176326369, 0
20.0, 6.785708671456884, 6.706781462181198, 0.07892720927568675, 0
30.0, 7.4694261935410164, 7.348988005951902, 0.12043818758911407, 0
40.0, 8.021391899336795, 7.834871085405828, 0.18652081393096687, 0
50.0, 8.495456859338198, 8.23089672490078, 0.2645601344374171, 0
60.0, 8.921552983436795, 8.572149339425925, 0.3494036440108701, 0
70.0, 9.315325677454029, 8.891111192291364, 0.4242144851626648, 0
80.0, 9.687234160670977, 9.202241841330133, 0.48499231934084364, 0
