# name, x, y, type, yaw, hubheight, options
2019-WTW-4687-KP, 637579.297844, 4027992.031130, Summit_GE2.8-127, , ,
2019-WTW-4680-KP, 635058.422120, 4027677.168786, Summit_GE2.8-127, , ,
2019-WTW-4666-KP, 634591.131360, 4029687.703950, Summit_GE2.8-127, , ,
2019-WTW-4644-KP, 637073.450334, 4031057.869794, Summit_GE2.8-127, , ,
2019-WTW-4682-KP, 635847.604630, 4027767.849445, Summit_GE2.8-127, , ,
2019-WTW-7917-KP, 630974.933834, 4029657.192357, Summit_GE2.8-127, , ,
2019-WTW-4676-KP, 633470.804878, 4027651.336580, Summit_GE2.8-127, , ,
2019-WTW-4667-KP, 634980.309855, 4029700.533133, Summit_GE2.8-127, , ,
2019-WTW-4681-KP, 635451.505122, 4027710.048887, Summit_GE2.8-127, , ,
2019-WTW-4740-KP, 636720.230076, 4027948.355637, Summit_GE2.8-127, , ,
2019-WTW-4686-KP, 637134.037650, 4028138.983408, Summit_GE2.8-127, , ,
2019-WTW-4741-KP, 632536.636273, 4031039.217841, Summit_GE2.8-127, , ,
2019-WTW-4665-KP, 634191.867004, 4029665.859119, Summit_GE2.8-127, , ,
2019-WTW-4641-KP, 635811.679157, 4030971.948244, Summit_GE2.8-127, , ,
2019-WTW-4661-KP, 632452.218202, 4029581.918469, Summit_GE2.8-127, , ,
2019-WTW-4729-KP, 631731.778256, 4032084.697297, Summit_GE2.8-127, , ,
WAF1-0001-AF, 632706.970000, 4025274.880000, Summit_GE1.7-103, , ,
WAF1-0002-AF, 633090.810000, 4025396.860000, Summit_GE1.7-103, , ,
WAF1-0003-AF, 631886.910000, 4024057.060000, Summit_GE1.7-103, , ,
WAF1-0004-AF, 632292.140000, 4024086.090000, Summit_GE1.7-103, , ,
WAF1-0005-AF, 632934.100000, 4023999.020000, Summit_GE1.7-103, , ,
WAF1-0006-AF, 622233.000000, 4023469.000000, Summit_GE1.7-103, , ,
WAF1-0007-AF, 622542.080000, 4023537.010000, Summit_GE1.7-103, , ,
WAF1-0008-AF, 622931.120000, 4023744.880000, Summit_GE1.7-103, , ,
WAF1-0009-AF, 621428.040000, 4022837.990000, Summit_GE1.7-103, , ,
WAF1-0010-AF, 621799.950000, 4023107.030000, Summit_GE1.7-103, , ,
WAF1-0011-AF, 623885.990000, 4022740.080000, Summit_GE1.7-103, , ,
WAF1-0012-AF, 624248.970000, 4023154.020000, Summit_GE1.7-103, , ,
WAF1-0013-AF, 626376.090000, 4022890.090000, Summit_GE2.3-116, , ,
WAF1-0014-AF, 627426.950000, 4022987.820000, Summit_GE2.3-116, , ,
WAF1-0015-AF, 630679.250000, 4023110.550000, Summit_GE1.7-103, , ,
WAF1-0016-AF, 631087.900000, 4022887.020000, Summit_GE1.7-103, , ,
WAF1-0017-AF, 631486.860000, 4023263.170000, Summit_GE1.7-103, , ,
WAF1-0018-AF, 632799.900000, 4023164.770000, Summit_GE1.7-103, , ,
WAF1-0019-AF, 633140.080000, 4023022.660000, Summit_GE1.7-103, , ,
WAF1-0020-AF, 621465.900000, 4021935.950000, Summit_GE1.7-103, , ,
WAF1-0021-AF, 621905.870000, 4022304.910000, Summit_GE1.7-103, , ,
WAF1-0022-AF, 623117.060000, 4022196.080000, Summit_GE1.7-103, , ,
WAF1-0023-AF, 624542.110000, 4022155.110000, Summit_GE1.7-103, , ,
WAF1-0024-AF, 624840.030000, 4022358.980000, Summit_GE1.7-103, , ,
WAF1-0025-AF, 625631.970000, 4022343.020000, Summit_GE1.7-103, , ,
WAF1-0026-AF, 626053.020000, 4022199.090000, Summit_GE2.3-116, , ,
WAF1-0027-AF, 626477.990000, 4021582.010000, Summit_GE2.3-116, , ,
WAF1-0028-AF, 627641.090000, 4022059.160000, Summit_GE2.3-116, , ,
WAF1-0029-AF, 627995.190000, 4022072.890000, Summit_GE2.3-116, , ,
WAF1-0030-AF, 628299.070000, 4022416.080000, Summit_GE2.3-116, , ,
WAF1-0031-AF, 629077.110000, 4022003.930000, Summit_GE2.3-116, , ,
WAF1-0032-AF, 630310.020000, 4021995.080000, Summit_GE2.3-116, , ,
WAF1-0033-AF, 630631.820000, 4022060.010000, Summit_GE1.7-103, , ,
WAF1-0034-AF, 632445.140000, 4022442.940000, Summit_GE1.7-103, , ,
WAF1-0035-AF, 632782.000000, 4022350.940000, Summit_GE1.7-103, , ,
WAF1-0036-AF, 633106.490000, 4022153.130000, Summit_GE1.7-103, , ,
WAF1-0037-AF, 633504.800000, 4022142.590000, Summit_GE2.3-116, , ,
WAF1-0038-AF, 633903.870000, 4022435.720000, Summit_GE2.3-116, , ,
WAF1-0039-AF, 634297.760000, 4022153.890000, Summit_GE2.3-116, , ,
WAF1-0040-AF, 634722.140000, 4022063.970000, Summit_GE2.3-116, , ,
WAF1-0041-AF, 621877.070000, 4021510.990000, Summit_GE1.7-103, , ,
WAF1-0042-AF, 622709.010000, 4021287.990000, Summit_GE1.7-103, , ,
WAF1-0043-AF, 621460.030000, 4020690.110000, Summit_GE1.7-103, , ,
WAF1-0044-AF, 621903.970000, 4020477.090000, Summit_GE1.7-103, , ,
WAF1-0045-AF, 622528.050000, 4020442.060000, Summit_GE1.7-103, , ,
WAF1-0046-AF, 623001.020000, 4020688.170000, Summit_GE1.7-103, , ,
WAF1-0047-AF, 624314.050000, 4020510.940000, Summit_GE1.7-103, , ,
WAF1-0048-AF, 624727.090000, 4020595.040000, Summit_GE1.7-103, , ,
WAF1-0049-AF, 629469.110000, 4020844.070000, Summit_GE2.3-116, , ,
WAF1-0050-AF, 629924.980000, 4020885.030000, Summit_GE2.3-116, , ,
WAF1-0051-AF, 630575.300000, 4021230.890000, Summit_GE2.3-116, , ,
WAF1-0052-AF, 631128.800000, 4021441.190000, Summit_GE2.3-116, , ,
WAF1-0053-AF, 631878.690000, 4020968.820000, Summit_GE1.7-103, , ,
WAF1-0054-AF, 632345.110000, 4020889.990000, Summit_GE1.7-103, , ,
WAF1-0055-AF, 632403.900000, 4019709.890000, Summit_GE1.7-103, , ,
WAF1-0056-AF, 632705.150000, 4019661.930000, Summit_GE1.7-103, , ,
WAF1-0057-AF, 633140.950000, 4020060.000000, Summit_GE1.7-103, , ,
WAF1-0058-AF, 632222.110000, 4019063.880000, Summit_GE1.7-103, , ,
WAF1-0059-AF, 633106.760000, 4019173.330000, Summit_GE1.7-103, , ,
WAF1-0060-AF, 631099.130000, 4018163.030000, Summit_GE1.7-103, , ,
WAF1-0061-AF, 631530.090000, 4018237.910000, Summit_GE1.7-103, , ,
WAF1-0062-AF, 632418.960000, 4018383.920000, Summit_GE1.7-103, , ,
WAF1-0063-AF, 632693.020000, 4018086.930000, Summit_GE1.7-103, , ,
WAF1-0064-AF, 633166.100000, 4018362.910000, Summit_GE1.7-103, , ,
WAF1-0065-AF, 623107.830000, 4017442.840000, Summit_GE2.3-116, , ,
WAF1-0066-AF, 623173.000000, 4018236.040000, Summit_GE2.3-116, , ,
WAF1-0067-AF, 624728.970000, 4017466.880000, Summit_GE2.3-116, , ,
WAF1-0068-AF, 631387.740000, 4017237.840000, Summit_GE1.7-103, , ,
WAF1-0069-AF, 631915.160000, 4017755.100000, Summit_GE1.7-103, , ,
WAF1-0070-AF, 632350.910000, 4017486.890000, Summit_GE1.7-103, , ,
WAF1-0071-AF, 632999.120000, 4017426.880000, Summit_GE1.7-103, , ,
WAF1-0072-AF, 633541.920000, 4017683.000000, Summit_GE2.3-116, , ,
WAF1-0073-AF, 633981.040000, 4017700.980000, Summit_GE2.3-116, , ,
WAF1-0074-AF, 623135.860000, 4016367.910000, Summit_GE2.3-116, , ,
WAF1-0075-AF, 623990.100000, 4016430.070000, Summit_GE2.3-116, , ,
WAF1-0076-AF, 624397.070000, 4016436.030000, Summit_GE2.3-116, , ,
WAF1-0077-AF, 624745.900000, 4016561.930000, Summit_GE2.3-116, , ,
WAF1-0078-AF, 625193.980000, 4016301.780000, Summit_GE2.3-116, , ,
WAF1-0079-AF, 625678.090000, 4015850.750000, Summit_GE2.3-116, , ,
WAF1-0080-AF, 626095.960000, 4015950.920000, Summit_GE2.3-116, , ,
WAF1-0081-AF, 626535.830000, 4015861.940000, Summit_GE2.3-116, , ,
WAF1-0082-AF, 629317.930000, 4016691.890000, Summit_GE2.3-116, , ,
WAF1-0083-AF, 632162.030000, 4016851.860000, Summit_GE1.7-103, , ,
WAF1-0084-AF, 632651.060000, 4016810.020000, Summit_GE1.7-103, , ,
WAF1-0085-AF, 633873.990000, 4016788.090000, Summit_GE2.3-116, , ,
WAF1-0086-AF, 627402.990000, 4015039.860000, Summit_GE2.3-116, , ,
WAF1-0087-AF, 628015.940000, 4015550.930000, Summit_GE2.3-116, , ,
WAF1-0088-AF, 628347.930000, 4016116.920000, Summit_GE1.7-103, , ,
WAF1-0089-AF, 628764.970000, 4015893.780000, Summit_GE2.3-116, , ,
WAF1-0090-AF, 629159.970000, 4015796.940000, Summit_GE2.3-116, , ,
WAF1-0091-AF, 630327.910000, 4016202.990000, Summit_GE1.7-103, , ,
