# Y/D U V
2.000000000000150269e-01 5.405313643027889192e+00 0.000000000000000000e+00
2.500000000000152101e-01 5.315777654542040764e+00 0.000000000000000000e+00
3.000000000000154210e-01 5.228407005600310242e+00 0.000000000000000000e+00
3.500000000000155764e-01 5.145256166646083429e+00 0.000000000000000000e+00
4.000000000000157319e-01 5.068468432639122057e+00 0.000000000000000000e+00
4.500000000000159428e-01 5.000240663277381259e+00 0.000000000000000000e+00
5.000000000000160982e-01 4.942945114684172303e+00 0.000000000000000000e+00
5.500000000000162537e-01 4.897862241601194100e+00 0.000000000000000000e+00
6.000000000000165201e-01 4.866327190063117314e+00 0.000000000000000000e+00
6.500000000000166755e-01 4.849643780541512683e+00 0.000000000000000000e+00
7.000000000000168310e-01 4.848500275284818528e+00 0.000000000000000000e+00
7.500000000000169864e-01 4.862448875817248606e+00 0.000000000000000000e+00
8.000000000000171418e-01 4.891072216792338168e+00 0.000000000000000000e+00
8.500000000000174083e-01 4.933707261907398056e+00 0.000000000000000000e+00
9.000000000000175637e-01 4.989046185608123629e+00 0.000000000000000000e+00
9.500000000000177192e-01 5.055078763943708253e+00 0.000000000000000000e+00
1.000000000000017986e+00 5.129953822336027258e+00 0.000000000000000000e+00
1.050000000000018030e+00 5.211719841615489734e+00 0.000000000000000000e+00
1.100000000000018296e+00 5.298062746674389700e+00 0.000000000000000000e+00
1.150000000000018341e+00 5.386791140873199879e+00 0.000000000000000000e+00
1.200000000000018607e+00 5.475910088193154834e+00 0.000000000000000000e+00
1.250000000000018874e+00 5.563549024321420511e+00 0.000000000000000000e+00
1.300000000000018918e+00 5.648031107783499039e+00 0.000000000000000000e+00
1.350000000000019185e+00 5.728251832837985447e+00 0.000000000000000000e+00
1.400000000000019229e+00 5.803013973377812995e+00 0.000000000000000000e+00
1.450000000000019496e+00 5.871463508176591795e+00 0.000000000000000000e+00
1.500000000000019762e+00 5.933364660346581054e+00 0.000000000000000000e+00
1.550000000000019806e+00 5.988513543062994771e+00 0.000000000000000000e+00
1.600000000000020073e+00 6.037053615084176705e+00 0.000000000000000000e+00
1.650000000000020339e+00 6.078888150543861002e+00 0.000000000000000000e+00
1.700000000000020384e+00 6.114674156883536327e+00 0.000000000000000000e+00
1.750000000000020650e+00 6.144917278397874938e+00 0.000000000000000000e+00
1.800000000000020695e+00 6.170153438885350283e+00 0.000000000000000000e+00
1.850000000000020961e+00 6.190745448054927991e+00 0.000000000000000000e+00
1.900000000000021227e+00 6.207508879862691842e+00 0.000000000000000000e+00
1.950000000000021272e+00 6.220980947624781265e+00 0.000000000000000000e+00
2.000000000000021316e+00 6.231681536311507230e+00 0.000000000000000000e+00
2.050000000000021583e+00 6.239982238663952963e+00 0.000000000000000000e+00
2.100000000000021849e+00 6.246425435155331662e+00 0.000000000000000000e+00
2.150000000000022116e+00 6.251378467085028312e+00 0.000000000000000000e+00
2.200000000000022382e+00 6.255112520737661441e+00 0.000000000000000000e+00
2.250000000000022204e+00 6.257876813354123158e+00 0.000000000000000000e+00
2.300000000000022471e+00 6.259930922322953784e+00 0.000000000000000000e+00
2.350000000000022737e+00 6.261435789178233513e+00 0.000000000000000000e+00
2.400000000000023004e+00 6.262519445508351268e+00 0.000000000000000000e+00
2.450000000000023270e+00 6.263286668859432638e+00 0.000000000000000000e+00
2.500000000000023093e+00 6.263830414367414612e+00 0.000000000000000000e+00
2.550000000000023359e+00 6.264211551527822941e+00 0.000000000000000000e+00
2.600000000000023626e+00 6.264473568307451501e+00 0.000000000000000000e+00
2.650000000000023892e+00 6.264650722335828981e+00 0.000000000000000000e+00
2.700000000000024158e+00 6.264771143330488457e+00 0.000000000000000000e+00
2.750000000000023981e+00 6.264852326635870661e+00 0.000000000000000000e+00
2.800000000000024247e+00 6.264905332411697891e+00 0.000000000000000000e+00
2.850000000000024514e+00 6.264939649981523750e+00 0.000000000000000000e+00
