# Y/D U V
-2.000000000000000000e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.949999999999999956e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.900000000000000133e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.850000000000000089e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.800000000000000266e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.750000000000000222e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.700000000000000178e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.650000000000000355e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.600000000000000311e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.550000000000000488e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.500000000000000444e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.450000000000000400e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.400000000000000577e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.350000000000000533e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.300000000000000711e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.250000000000000666e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.200000000000000622e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.150000000000000799e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.100000000000000755e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.050000000000000933e+00 6.264999999999999680e+00 0.000000000000000000e+00
-1.000000000000000888e+00 6.264999999999999680e+00 0.000000000000000000e+00
-9.500000000000009548e-01 6.264999999999999680e+00 0.000000000000000000e+00
-9.000000000000010214e-01 6.264999999999999680e+00 0.000000000000000000e+00
-8.500000000000009770e-01 6.264999999999999680e+00 0.000000000000000000e+00
-8.000000000000010436e-01 6.264999999999999680e+00 0.000000000000000000e+00
-7.500000000000011102e-01 6.264999999999999680e+00 0.000000000000000000e+00
-7.000000000000011768e-01 6.264999999999999680e+00 0.000000000000000000e+00
-6.500000000000012434e-01 6.264999999999999680e+00 0.000000000000000000e+00
-6.000000000000011990e-01 6.264999999999999680e+00 0.000000000000000000e+00
-5.500000000000012657e-01 6.264999999999999680e+00 0.000000000000000000e+00
