# Time Power
# -----------
0 707.91058708
100 707.91058708
200 707.91058708
300 707.91058708
400 707.91058708
500 707.91058708
600 707.91058708
700 707.91058708
800 707.91058708
900 707.91058708
1000 707.91058708
