# Y/D U V
-2.000000000000000000e+00 6.264999999299909028e+00 0.000000000000000000e+00
-1.949999999999999956e+00 6.264999998017486860e+00 0.000000000000000000e+00
-1.900000000000000133e+00 6.264999994566489150e+00 0.000000000000000000e+00
-1.850000000000000089e+00 6.264999985461537690e+00 0.000000000000000000e+00
-1.800000000000000266e+00 6.264999961640619119e+00 0.000000000000000000e+00
-1.750000000000000222e+00 6.264999902171119572e+00 0.000000000000000000e+00
-1.700000000000000178e+00 6.264999755159250228e+00 0.000000000000000000e+00
-1.650000000000000355e+00 6.264999406559925710e+00 0.000000000000000000e+00
-1.600000000000000311e+00 6.264998596919567397e+00 0.000000000000000000e+00
-1.550000000000000488e+00 6.264996770187563513e+00 0.000000000000000000e+00
-1.500000000000000444e+00 6.264992692365745519e+00 0.000000000000000000e+00
-1.450000000000000400e+00 6.264983848145067036e+00 0.000000000000000000e+00
-1.400000000000000577e+00 6.264965454215222884e+00 0.000000000000000000e+00
-1.350000000000000533e+00 6.264927497515297539e+00 0.000000000000000000e+00
-1.300000000000000711e+00 6.264852479377779559e+00 0.000000000000000000e+00
-1.250000000000000666e+00 6.264706743305921144e+00 0.000000000000000000e+00
-1.200000000000000622e+00 6.264429663462268927e+00 0.000000000000000000e+00
-1.150000000000000799e+00 6.263915710412978122e+00 0.000000000000000000e+00
-1.100000000000000755e+00 6.262995380524965405e+00 0.000000000000000000e+00
-1.050000000000000933e+00 6.261383603592729052e+00 0.000000000000000000e+00
-1.000000000000000888e+00 6.258628587368066043e+00 0.000000000000000000e+00
-9.500000000000009548e-01 6.254068075189726628e+00 0.000000000000000000e+00
-9.000000000000010214e-01 6.246673601185640301e+00 0.000000000000000000e+00
-8.500000000000009770e-01 6.234973820469231320e+00 0.000000000000000000e+00
-8.000000000000010436e-01 6.217014926861083701e+00 0.000000000000000000e+00
-7.500000000000011102e-01 6.190202365404813278e+00 0.000000000000000000e+00
-7.000000000000011768e-01 6.151279817331944955e+00 0.000000000000000000e+00
-6.500000000000012434e-01 6.096243173517779113e+00 0.000000000000000000e+00
-6.000000000000011990e-01 6.020554194722599561e+00 0.000000000000000000e+00
-5.500000000000012657e-01 5.918993046568413519e+00 0.000000000000000000e+00
-5.000000000000013323e-01 5.787110077203138303e+00 0.000000000000000000e+00
-4.500000000000013989e-01 5.620880593082754118e+00 0.000000000000000000e+00
-4.000000000000014100e-01 5.417623329256743503e+00 0.000000000000000000e+00
-3.500000000000014766e-01 5.176771272060006979e+00 0.000000000000000000e+00
-3.000000000000015432e-01 4.900562186029331357e+00 0.000000000000000000e+00
-2.500000000000015543e-01 4.594353999549421808e+00 0.000000000000000000e+00
