# Y/D TKE
-4.0000 0.4311
-3.9213 0.3746
-3.8425 0.3400
-3.7638 0.3015
-3.6850 0.3048
-3.6063 0.3392
-3.5276 0.3487
-3.4488 0.3331
-3.3701 0.3159
-3.2913 0.3323
-3.2126 0.3418
-3.1339 0.3180
-3.0551 0.3005
-2.9764 0.2874
-2.8976 0.2826
-2.8189 0.2740
-2.7402 0.2612
-2.6614 0.2548
-2.5827 0.2545
-2.5039 0.2940
-2.4252 0.3459
-2.3465 0.3337
-2.2677 0.3044
-2.1890 0.3015
-2.1102 0.3020
-2.0315 0.3082
-1.9528 0.3149
-1.8740 0.3165
-1.7953 0.3208
-1.7165 0.3345
-1.6378 0.3513
-1.5591 0.3645
-1.4803 0.3477
-1.4016 0.3223
-1.3228 0.3078
-1.2441 0.3039
-1.1654 0.2880
-1.0866 0.2675
-1.0079 0.2708
-0.9291 0.2794
-0.8504 0.2802
-0.7717 0.2801
-0.6929 0.2684
-0.6142 0.2599
-0.5354 0.2654
-0.4567 0.2803
-0.3780 0.2836
-0.2992 0.2678
-0.2205 0.2666
-0.1417 0.2836
-0.0630 0.2874
0.0157 0.2711
0.0945 0.2544
0.1732 0.2411
0.2520 0.2356
0.3307 0.2394
0.4094 0.2530
0.4882 0.2621
0.5669 0.2736
0.6457 0.2878
0.7244 0.2971
0.8031 0.2911
0.8819 0.2794
0.9606 0.2759
1.0394 0.2699
1.1181 0.2656
1.1969 0.2583
1.2756 0.2460
1.3543 0.2359
1.4331 0.2369
1.5118 0.2414
1.5906 0.2529
1.6693 0.2640
1.7480 0.2706
1.8268 0.2549
1.9055 0.2560
1.9843 0.2773
2.0630 0.2741
2.1417 0.2586
2.2205 0.2473
2.2992 0.2325
2.3780 0.2221
2.4567 0.2146
2.5354 0.2085
2.6142 0.2119
2.6929 0.2233
2.7717 0.2372
2.8504 0.2403
2.9291 0.2420
3.0079 0.2481
3.0866 0.2380
3.1654 0.2335
3.2441 0.2478
3.3228 0.2591
3.4016 0.2615
3.4803 0.2515
3.5591 0.2532
3.6378 0.2638
3.7165 0.2480
3.7953 0.2347
3.8740 0.2328
3.9528 0.2294
