# Y/D TKE
-4.0000 0.2944
-3.9213 0.2747
-3.8425 0.2631
-3.7638 0.2633
-3.6850 0.2660
-3.6063 0.2659
-3.5276 0.2738
-3.4488 0.2630
-3.3701 0.2461
-3.2913 0.2343
-3.2126 0.2340
-3.1339 0.2336
-3.0551 0.2373
-2.9764 0.2370
-2.8976 0.2270
-2.8189 0.2422
-2.7402 0.2916
-2.6614 0.3293
-2.5827 0.3297
-2.5039 0.3270
-2.4252 0.3294
-2.3465 0.3353
-2.2677 0.3256
-2.1890 0.3097
-2.1102 0.3097
-2.0315 0.3213
-1.9528 0.3277
-1.8740 0.3226
-1.7953 0.3023
-1.7165 0.2873
-1.6378 0.2755
-1.5591 0.2651
-1.4803 0.2628
-1.4016 0.2736
-1.3228 0.2878
-1.2441 0.2975
-1.1654 0.3016
-1.0866 0.2952
-1.0079 0.2807
-0.9291 0.2511
-0.8504 0.2369
-0.7717 0.2485
-0.6929 0.2654
-0.6142 0.2653
-0.5354 0.2431
-0.4567 0.2384
-0.3780 0.2434
-0.2992 0.2034
-0.2205 0.1972
-0.1417 0.2280
-0.0630 0.2483
0.0157 0.2395
0.0945 0.2165
0.1732 0.2154
0.2520 0.2246
0.3307 0.2439
0.4094 0.2695
0.4882 0.2841
0.5669 0.2981
0.6457 0.2927
0.7244 0.2805
0.8031 0.2804
0.8819 0.2985
0.9606 0.3180
1.0394 0.2899
1.1181 0.2466
1.1969 0.2142
1.2756 0.2001
1.3543 0.2106
1.4331 0.2253
1.5118 0.2188
1.5906 0.2163
1.6693 0.2337
1.7480 0.2414
1.8268 0.2479
1.9055 0.2625
1.9843 0.2632
2.0630 0.2463
2.1417 0.2335
2.2205 0.2373
2.2992 0.2361
2.3780 0.2268
2.4567 0.2051
2.5354 0.1931
2.6142 0.2241
2.6929 0.2704
2.7717 0.3003
2.8504 0.2803
2.9291 0.2490
3.0079 0.2494
3.0866 0.2602
3.1654 0.2776
3.2441 0.2841
3.3228 0.2704
3.4016 0.2455
3.4803 0.2219
3.5591 0.2076
3.6378 0.1987
3.7165 0.1949
3.7953 0.1934
3.8740 0.1816
3.9528 0.1777
