# z Uhoriz WDir T TKE TI_horiz
1.402920000000000016e+02 6.582443403181390096e+00 2.665018595079575903e+02 0.000000000000000000e+00 2.479923065298267337e-01 9.158554023270060185e-02
1.466650909090909067e+02 6.620252956126855715e+00 2.665542119635582594e+02 0.000000000000000000e+00 2.452194247821286865e-01 9.069938342846353696e-02
1.530381818181818119e+02 6.656233051318796612e+00 2.665886122901674753e+02 0.000000000000000000e+00 2.405451438158417998e-01 8.941867458474370145e-02
1.594112727272727170e+02 6.692208038756002786e+00 2.666201271045553653e+02 0.000000000000000000e+00 2.359732600021703097e-01 8.804965777015869022e-02
1.657843636363636222e+02 6.728344068011002044e+00 2.666620353351160588e+02 0.000000000000000000e+00 2.333726058770236034e-01 8.706327417098339017e-02
1.721574545454545273e+02 6.764717679318702714e+00 2.667188333997426639e+02 0.000000000000000000e+00 2.324529051687087011e-01 8.659166829095063522e-02
1.785305454545454609e+02 6.798482884081956001e+00 2.668074392922305265e+02 0.000000000000000000e+00 2.302817449264885630e-01 8.586129689084320837e-02
1.849036363636363660e+02 6.827877527710310090e+00 2.669032325419692029e+02 0.000000000000000000e+00 2.262603855116519791e-01 8.471269706852020687e-02
1.912767272727272712e+02 6.857485168376077134e+00 2.670017985837190508e+02 0.000000000000000000e+00 2.254556263282414541e-01 8.426169751594046742e-02
1.976498181818181763e+02 6.887328439376558364e+00 2.671141639251669631e+02 0.000000000000000000e+00 2.243188402052859465e-01 8.378490647371977795e-02
2.040229090909090814e+02 6.916192433588213007e+00 2.672472305451589136e+02 0.000000000000000000e+00 2.235677925258814924e-01 8.341930120363982848e-02
2.103959999999999866e+02 6.943418191494274971e+00 2.673815835937856491e+02 0.000000000000000000e+00 2.216782318319895084e-01 8.279278561099229217e-02
2.167690909090908917e+02 6.970532812107984810e+00 2.675163140504300827e+02 0.000000000000000000e+00 2.202776515818667957e-01 8.226058274662746694e-02
