# Y/D TKEres TKEsgs TKEtot
-1.900000000000001465e+00 1.770596026636406251e-01 1.547230724513182741e-02 1.925319099087724473e-01
-1.849999999999998535e+00 1.932728077082489504e-01 1.519871796002550922e-02 2.084715256682744544e-01
-1.799999999999999378e+00 1.976637101043441369e-01 1.501705409884661335e-02 2.126807642031907641e-01
-1.750000000000000000e+00 2.076991905385225379e-01 1.483677061969055841e-02 2.225359611582130859e-01
-1.700000000000000622e+00 2.195507720843063171e-01 1.465829418609167212e-02 2.342090662703980031e-01
-1.650000000000001465e+00 2.233025125985767523e-01 1.453377360377149097e-02 2.378362862023482571e-01
-1.599999999999998535e+00 2.307639687082071178e-01 1.444333653504805554e-02 2.452073052432551803e-01
-1.549999999999999378e+00 2.363037502712577731e-01 1.441653215923269747e-02 2.507202824304904931e-01
-1.500000000000000000e+00 2.409835082351658442e-01 1.439160973375911041e-02 2.553751179689249806e-01
-1.450000000000000622e+00 2.494479949232847327e-01 1.438214414477429620e-02 2.638301390680590219e-01
-1.400000000000001465e+00 2.426681442868799943e-01 1.446768714621306413e-02 2.571358314330930428e-01
-1.349999999999998535e+00 2.321493991407759250e-01 1.434316390624732450e-02 2.464925630470232443e-01
-1.299999999999999378e+00 2.256643571041971330e-01 1.405295461672307830e-02 2.397173117209202009e-01
-1.250000000000000000e+00 2.093948660858669653e-01 1.350653432003491063e-02 2.229014004059018672e-01
-1.200000000000000622e+00 1.985975428939013576e-01 1.302234427188056660e-02 2.116198871657819225e-01
-1.150000000000001465e+00 1.865681138676959783e-01 1.263382195158464436e-02 1.992019358192806122e-01
-1.099999999999998535e+00 1.664600968320646412e-01 1.261128104395234373e-02 1.790713778760169850e-01
-1.049999999999999378e+00 1.544839816838116664e-01 1.260566614537074297e-02 1.670896478291823972e-01
-1.000000000000000000e+00 1.476733433586664423e-01 1.244173319235312124e-02 1.601150765510195584e-01
-9.500000000000007327e-01 1.477535939345694105e-01 1.217945424815035892e-02 1.599330481827197781e-01
-9.000000000000014655e-01 1.556770010497173784e-01 1.189742774385400305e-02 1.675744287935713728e-01
-8.499999999999985345e-01 1.525314965746208118e-01 1.182097235357796282e-02 1.643524689281987694e-01
-7.999999999999992673e-01 1.517032718952311676e-01 1.175483179889605378e-02 1.634581036941272214e-01
-7.500000000000000000e-01 1.565648893946742781e-01 1.169764088097963346e-02 1.682625302756539099e-01
-7.000000000000007327e-01 1.527579270076925289e-01 1.167343349843527611e-02 1.644313605061278050e-01
-6.500000000000014655e-01 1.538494785800325060e-01 1.168128164840114523e-02 1.655307602284336599e-01
-5.999999999999985345e-01 1.529299996800642103e-01 1.173800515276183544e-02 1.646680048328260371e-01
-5.499999999999992673e-01 1.459414526063433082e-01 1.186402055694621600e-02 1.578054731632895225e-01
-5.000000000000000000e-01 1.451179033695899900e-01 1.200875652056809968e-02 1.571266598901580880e-01
-4.500000000000007327e-01 1.464018900385427591e-01 1.216181791025807736e-02 1.585637079488008416e-01
-4.000000000000014100e-01 1.506683943930184344e-01 1.242444893983512405e-02 1.630928433328535654e-01
-3.499999999999985900e-01 1.634347840332974755e-01 1.275553147201165249e-02 1.761903155053091141e-01
-2.999999999999992673e-01 1.695605945268610915e-01 1.321697988900613976e-02 1.827775744158672278e-01
-2.500000000000000000e-01 1.791247571924615978e-01 1.359454990726921379e-02 1.927193070997308133e-01
-2.000000000000007050e-01 1.914638128390561689e-01 1.389211283751150446e-02 2.053559256765676855e-01
-1.500000000000014377e-01 1.925836541288794279e-01 1.437143883987899648e-02 2.069550929687584140e-01
-9.999999999999856226e-02 2.027070882212489156e-01 1.481507078431309153e-02 2.175221590055620158e-01
-4.999999999999928113e-02 2.160228591569629264e-01 1.517433343843712854e-02 2.311971925954000584e-01
