# Y/D TKEres TKEsgs TKEtot
-1.900000000000001465e+00 1.754310125306819401e-01 5.115853579339375151e-03 1.805468661100213257e-01
-1.849999999999998535e+00 1.833253091519114752e-01 5.241526290991936100e-03 1.885668354429034244e-01
-1.799999999999999378e+00 1.923553093805651648e-01 5.933788354542894779e-03 1.982890977351080553e-01
-1.750000000000000000e+00 2.027291639173598170e-01 6.550240331234318328e-03 2.092794042485941475e-01
-1.700000000000000622e+00 2.085137292242223994e-01 7.108243784490000938e-03 2.156219730087123865e-01
-1.650000000000001465e+00 2.157896577193696430e-01 7.170239115564343811e-03 2.229598968349339738e-01
-1.599999999999998535e+00 2.256927031668132244e-01 7.209567173385559441e-03 2.329022703401987804e-01
-1.549999999999999378e+00 2.290313224936445791e-01 7.536574553240910426e-03 2.365678970468854947e-01
-1.500000000000000000e+00 2.324868050936056973e-01 8.055313819189169333e-03 2.405421189127948667e-01
-1.450000000000000622e+00 2.379435371932769050e-01 8.679135195312211865e-03 2.466226723885891203e-01
-1.400000000000001465e+00 2.412351738325668182e-01 8.977649305939973748e-03 2.502128231385067902e-01
-1.349999999999998535e+00 2.443047602240822902e-01 8.989143354806067993e-03 2.532939035788883686e-01
-1.299999999999999378e+00 2.471364270107351824e-01 8.873926183386386668e-03 2.560103531941215760e-01
-1.250000000000000000e+00 2.510349940430335325e-01 8.882948826592748995e-03 2.599179428696262728e-01
-1.200000000000000622e+00 2.583372463820574061e-01 9.105059281493660395e-03 2.674423056635510942e-01
-1.150000000000001465e+00 2.713359692957924563e-01 9.912291033101757604e-03 2.812482603288942173e-01
-1.099999999999998535e+00 2.826749110532045250e-01 1.102248306584345007e-02 2.936973941190479942e-01
-1.049999999999999378e+00 3.012789379343416840e-01 1.202327265785355787e-02 3.133022105921952627e-01
-1.000000000000000000e+00 3.150992900286472276e-01 1.262101758999745540e-02 3.277203076186446795e-01
-9.500000000000007327e-01 3.347478125754205225e-01 1.267199278780256969e-02 3.474198053632230887e-01
-9.000000000000014655e-01 3.545210355281953607e-01 1.250977860366181416e-02 3.670308141318571749e-01
-8.499999999999985345e-01 3.570602512723554112e-01 1.246095080317226322e-02 3.695212020755276883e-01
-7.999999999999992673e-01 3.497271093345973858e-01 1.228010653469042979e-02 3.620072158692878017e-01
-7.500000000000000000e-01 3.318329574695295103e-01 1.176751020122926775e-02 3.436004676707588024e-01
-7.000000000000007327e-01 3.150077859623252596e-01 1.118081705130159059e-02 3.261886030136268433e-01
-6.500000000000014655e-01 3.025735087921551103e-01 1.057679820126408189e-02 3.131503069934191696e-01
-5.999999999999985345e-01 2.887976472844752673e-01 1.005211482931965376e-02 2.988497621137949367e-01
-5.499999999999992673e-01 2.848009126969875959e-01 9.933207615819740141e-03 2.947341203128073239e-01
