# z Uhoriz WDir T TKE TI_horiz
1.912767272727272712e+02 6.855769532421886581e+00 2.669929281121176246e+02 0.000000000000000000e+00 2.148923617846051348e-01 8.231875313212444478e-02
1.976498181818181763e+02 6.887433703420346554e+00 2.671100774604049093e+02 0.000000000000000000e+00 2.144248049649195298e-01 8.209727751937354046e-02
2.040229090909090814e+02 6.917587328176870720e+00 2.672496608227592105e+02 0.000000000000000000e+00 2.135515103898688316e-01 8.175233821322808181e-02
2.103959999999999866e+02 6.945296808665929689e+00 2.673817898191410336e+02 0.000000000000000000e+00 2.114408634670730258e-01 8.110975486310749438e-02
2.167690909090908917e+02 6.973080662449969047e+00 2.675122439849914713e+02 0.000000000000000000e+00 2.094360418074681651e-01 8.044510542183351542e-02
2.231421818181817969e+02 7.004110284607330428e+00 2.676454135558816461e+02 0.000000000000000000e+00 2.070227850507706246e-01 7.974318494051953199e-02
2.295152727272727020e+02 7.035297194359028339e+00 2.677727922126229601e+02 0.000000000000000000e+00 2.044337862430853636e-01 7.903703601649386679e-02
2.358883636363636356e+02 7.065210068209475835e+00 2.678910602248859050e+02 0.000000000000000000e+00 2.024296278178812636e-01 7.842744091091420622e-02
2.422614545454545407e+02 7.095825913313809963e+00 2.680277678851579140e+02 0.000000000000000000e+00 1.985029624069593046e-01 7.726580530910594213e-02
2.486345454545454459e+02 7.128108492741820790e+00 2.681949326139327354e+02 0.000000000000000000e+00 1.935743097250063605e-01 7.583797871588607298e-02
2.550076363636363510e+02 7.162386796732705285e+00 2.683631476037177208e+02 0.000000000000000000e+00 1.884424605523189189e-01 7.440361148708808658e-02
2.613807272727272561e+02 7.197055981502090027e+00 2.685016394501247987e+02 0.000000000000000000e+00 1.810125845894412500e-01 7.260871946468179516e-02
2.677538181818181897e+02 7.229672750952905957e+00 2.686082121962371616e+02 0.000000000000000000e+00 1.781432808823315006e-01 7.174618540852222004e-02
2.741269090909090664e+02 7.258253839131422858e+00 2.686991610603011509e+02 0.000000000000000000e+00 1.737974287104394333e-01 7.056563944238046504e-02
2.805000000000000000e+02 7.284318256052663365e+00 2.687820305710467323e+02 0.000000000000000000e+00 1.701849221459185157e-01 6.945319111913493548e-02
